pago_id,credito_id,cliente_id,numero_cuota,fecha_vencimiento,fecha_pago,valor_cuota,valor_pagado,medio_pago,estado_pago,dias_mora
PG00000028,CR000004,CL00003,10,2025-01-22,2025-01-15,92000,92000,PSE,Pagado,0
PG00000029,CR000004,CL00003,11,2025-02-22,2025-02-21,92000,92000,PSE,Pagado,0
PG00000030,CR000004,CL00003,12,2025-03-22,2025-03-21,92000,92000,Transferencia,Pagado,0
PG00000031,CR000005,CL00003,1,2026-02-28,2026-02-28,179000,179000,Transferencia,Pagado,0
PG00000032,CR000005,CL00003,2,2026-03-30,2026-03-27,179000,179000,Débito automático,Pagado,0
PG00000033,CR000005,CL00003,3,2026-04-30,2026-04-30,179000,179000,PSE,Pagado,0
PG00000034,CR000006,CL00005,1,2026-02-28,2026-03-02,236000,188000,Transferencia,Parcial,2
PG00000035,CR000006,CL00005,2,2026-03-28,,236000,0,Débito automático,Mora,33
PG00000036,CR000006,CL00005,3,2026-04-28,2026-04-28,236000,236000,Efectivo aliado,Pagado,0
PG00000037,CR000007,CL00006,1,2024-09-11,2024-09-06,380000,380000,Débito automático,Pagado,0
PG00000038,CR000007,CL00006,2,2024-10-11,2024-10-11,380000,380000,Transferencia,Pagado,0
PG00000039,CR000007,CL00006,3,2024-11-11,2024-11-06,380000,380000,Transferencia,Pagado,0
PG00000040,CR000007,CL00006,4,2024-12-11,2024-12-08,380000,380000,Billetera digital,Pagado,0
PG00000041,CR000007,CL00006,5,2025-01-11,2025-02-04,380000,380000,Billetera digital,Pagado tardío,24
PG00000042,CR000007,CL00006,6,2025-02-11,2025-02-11,380000,380000,Billetera digital,Pagado,0
PG00000043,CR000007,CL00006,7,2025-03-11,2025-03-14,380000,380000,PSE,Pagado tardío,3
PG00000044,CR000007,CL00006,8,2025-04-11,2025-04-11,380000,380000,Débito automático,Pagado,0
PG00000045,CR000007,CL00006,9,2025-05-11,2025-05-11,380000,380000,Transferencia,Pagado,0
PG00000046,CR000007,CL00006,10,2025-06-11,2025-06-11,380000,380000,PSE,Pagado,0
PG00000047,CR000007,CL00006,11,2025-07-11,2025-07-08,380000,380000,PSE,Pagado,0
PG00000048,CR000007,CL00006,12,2025-08-11,2025-08-10,380000,380000,PSE,Pagado,0
PG00000049,CR000008,CL00007,1,2025-07-24,2025-10-20,1098000,1436000,Billetera digital,Pagado tardío,88
PG00000050,CR000008,CL00007,2,2025-08-24,2025-08-14,1098000,1098000,Transferencia,Pagado,0
PG00000051,CR000008,CL00007,3,2025-09-24,2025-10-14,1098000,1098000,PSE,Pagado tardío,20
PG00000052,CR000008,CL00007,4,2025-10-24,2025-10-17,1098000,1098000,Débito automático,Pagado,0
PG00000053,CR000008,CL00007,5,2025-11-24,2025-11-21,1098000,1098000,PSE,Pagado,0
PG00000054,CR000008,CL00007,6,2025-12-24,2025-12-24,1098000,1098000,PSE,Pagado,0
PG00000055,CR000008,CL00007,7,2026-01-24,2026-01-22,1098000,1098000,PSE,Pagado,0
PG00000056,CR000008,CL00007,8,2026-02-24,2026-03-06,1098000,1098000,Débito automático,Pagado tardío,10
PG00000057,CR000008,CL00007,9,2026-03-24,2026-03-24,1098000,1098000,Transferencia,Pagado,0
PG00000058,CR000008,CL00007,10,2026-04-24,2026-04-26,1098000,1098000,Débito automático,Pagado tardío,2
PG00000059,CR000009,CL00008,1,2024-11-19,2024-11-28,96000,96000,Transferencia,Pagado tardío,9
PG00000060,CR000009,CL00008,2,2024-12-19,2024-12-19,96000,96000,Billetera digital,Pagado,0
PG00000061,CR000009,CL00008,3,2025-01-19,2025-01-16,96000,96000,Transferencia,Pagado,0
PG00000062,CR000009,CL00008,4,2025-02-19,2025-02-18,96000,96000,PSE,Pagado,0
PG00000063,CR000009,CL00008,5,2025-03-19,2025-03-18,96000,96000,Débito automático,Pagado,0
PG00000064,CR000009,CL00008,6,2025-04-19,2025-07-07,96000,96000,Débito automático,Pagado tardío,79
PG00000065,CR000009,CL00008,7,2025-05-19,2025-05-19,96000,96000,Billetera digital,Pagado,0
PG00000066,CR000009,CL00008,8,2025-06-19,2025-06-19,96000,96000,Débito automático,Pagado,0
PG00000067,CR000009,CL00008,9,2025-07-19,2025-07-20,96000,96000,Transferencia,Pagado tardío,1
PG00000068,CR000009,CL00008,10,2025-08-19,2025-08-30,96000,96000,Transferencia,Pagado tardío,11
PG00000069,CR000009,CL00008,11,2025-09-19,2025-09-14,96000,96000,PSE,Pagado,0
PG00000070,CR000009,CL00008,12,2025-10-19,2025-10-24,96000,59000,PSE,Parcial,5
PG00000071,CR000009,CL00008,13,2025-11-19,2025-11-17,96000,96000,Transferencia,Pagado,0
PG00000072,CR000009,CL00008,14,2025-12-19,2025-12-12,96000,96000,PSE,Pagado,0
PG00000073,CR000009,CL00008,15,2026-01-19,2026-01-28,96000,96000,Efectivo aliado,Pagado tardío,9
PG00000074,CR000009,CL00008,16,2026-02-19,2026-03-19,96000,96000,PSE,Pagado tardío,28
PG00000075,CR000009,CL00008,17,2026-03-19,2026-03-19,96000,96000,PSE,Pagado,0
PG00000076,CR000009,CL00008,18,2026-04-19,2026-04-16,96000,96000,Billetera digital,Pagado,0
PG00000077,CR000010,CL00010,1,2025-05-16,2025-07-09,129000,129000,Efectivo aliado,Pagado tardío,54
PG00000078,CR000010,CL00010,2,2025-06-16,2025-06-16,129000,129000,Efectivo aliado,Pagado,0
PG00000079,CR000010,CL00010,3,2025-07-16,2025-07-16,129000,129000,Efectivo aliado,Pagado,0
PG00000080,CR000010,CL00010,4,2025-08-16,2025-08-13,129000,129000,Efectivo aliado,Pagado,0
PG00000081,CR000010,CL00010,5,2025-09-16,2025-09-16,129000,129000,PSE,Pagado,0
PG00000082,CR000010,CL00010,6,2025-10-16,2025-10-11,129000,129000,PSE,Pagado,0
PG00000083,CR000010,CL00010,7,2025-11-16,2025-11-13,129000,129000,PSE,Pagado,0
PG00000084,CR000010,CL00010,8,2025-12-16,2025-12-14,129000,129000,PSE,Pagado,0
PG00000085,CR000010,CL00010,9,2026-01-16,2026-01-16,129000,129000,PSE,Pagado,0
PG00000086,CR000010,CL00010,10,2026-02-16,2026-02-16,129000,129000,PSE,Pagado,0
PG00000087,CR000010,CL00010,11,2026-03-16,2026-03-14,129000,129000,Efectivo aliado,Pagado,0
PG00000088,CR000010,CL00010,12,2026-04-16,2026-04-15,129000,129000,PSE,Pagado,0
PG00000089,CR000011,CL00011,1,2025-10-11,2025-10-10,34000,34000,Efectivo aliado,Pagado,0
PG00000090,CR000011,CL00011,2,2025-11-11,2025-11-10,34000,34000,PSE,Pagado,0
PG00000091,CR000011,CL00011,3,2025-12-11,2025-12-11,34000,46000,Efectivo aliado,Pagado,0
PG00000092,CR000011,CL00011,4,2026-01-11,2026-01-11,34000,34000,Transferencia,Pagado,0
PG00000093,CR000011,CL00011,5,2026-02-11,2026-02-10,34000,34000,PSE,Pagado,0
PG00000094,CR000011,CL00011,6,2026-03-11,2026-03-04,34000,40000,PSE,Pagado,0
PG00000095,CR000011,CL00011,7,2026-04-11,2026-04-11,34000,34000,Billetera digital,Pagado,0
PG00000096,CR000011,CL00011,8,2026-05-11,,34000,0,Billetera digital,Pendiente,0
PG00000097,CR000012,CL00011,1,2026-02-11,2026-02-10,132000,132000,Efectivo aliado,Pagado,0
PG00000098,CR000012,CL00011,2,2026-03-11,2026-03-11,132000,132000,Billetera digital,Pagado,0
PG00000099,CR000012,CL00011,3,2026-04-11,2026-04-11,132000,132000,PSE,Pagado,0
PG00000100,CR000012,CL00011,4,2026-05-11,,132000,0,PSE,Pendiente,0
PG00000101,CR000013,CL00012,1,2025-04-29,2025-04-26,797000,797000,Transferencia,Pagado,0
PG00000102,CR000013,CL00012,2,2025-05-29,2025-05-26,797000,797000,PSE,Pagado,0
PG00000103,CR000013,CL00012,3,2025-06-29,2025-06-27,797000,797000,Transferencia,Pagado,0
PG00000104,CR000013,CL00012,4,2025-07-29,2025-07-28,797000,797000,PSE,Pagado,0
PG00000105,CR000013,CL00012,5,2025-08-29,2025-08-24,797000,797000,PSE,Pagado,0
PG00000106,CR000013,CL00012,6,2025-09-29,2025-09-29,797000,797000,PSE,Pagado,0
PG00000107,CR000013,CL00012,7,2025-10-29,2025-10-29,797000,797000,Billetera digital,Pagado,0
PG00000108,CR000013,CL00012,8,2025-11-29,2025-11-29,797000,797000,Billetera digital,Pagado,0
PG00000109,CR000013,CL00012,9,2025-12-29,2025-12-27,797000,797000,Transferencia,Pagado,0
PG00000110,CR000014,CL00013,1,2026-02-19,2026-02-14,310000,310000,Billetera digital,Pagado,0
PG00000111,CR000014,CL00013,2,2026-03-19,2026-03-19,310000,310000,Efectivo aliado,Pagado,0
PG00000112,CR000014,CL00013,3,2026-04-19,2026-04-18,310000,310000,Efectivo aliado,Pagado,0
PG00000113,CR000015,CL00014,1,2026-03-12,2026-03-11,209000,209000,Transferencia,Pagado,0
PG00000114,CR000015,CL00014,2,2026-04-12,2026-04-07,209000,209000,Billetera digital,Pagado,0
PG00000115,CR000015,CL00014,3,2026-05-12,,209000,0,Transferencia,Pendiente,0
PG00000116,CR000016,CL00015,1,2026-01-14,2026-01-07,139000,139000,Efectivo aliado,Pagado,0
PG00000117,CR000016,CL00015,2,2026-02-14,2026-02-14,139000,139000,,Pagado,0
PG00000118,CR000016,CL00015,3,2026-03-14,2026-03-14,139000,139000,Transferencia,Pagado,0
PG00000119,CR000016,CL00015,4,2026-04-14,,139000,0,PSE,Vencido,16
PG00000120,CR000016,CL00015,5,2026-05-14,,139000,0,PSE,Pendiente,0
PG00000121,CR000017,CL00015,1,2026-01-13,2026-03-31,791000,791000,Débito automático,Pagado tardío,77
PG00000122,CR000017,CL00015,2,2026-02-13,2026-02-16,791000,791000,Transferencia,Pagado tardío,3
PG00000123,CR000017,CL00015,3,2026-03-13,2026-03-10,791000,791000,PSE,Pagado,0
PG00000124,CR000017,CL00015,4,2026-04-13,2026-04-11,791000,791000,Efectivo aliado,Pagado,0
PG00000125,CR000017,CL00015,5,2026-05-13,,791000,0,Billetera digital,Pendiente,0
PG00000126,CR000018,CL00015,1,2026-01-05,2026-01-31,193000,193000,Billetera digital,Pagado tardío,26
PG00000127,CR000018,CL00015,2,2026-02-05,2026-02-05,193000,193000,PSE,Pagado,0
PG00000128,CR000018,CL00015,3,2026-03-05,2026-02-28,193000,193000,Débito automático,Pagado,0
PG00000129,CR000018,CL00015,4,2026-04-05,2026-04-02,193000,193000,PSE,Pagado,0
PG00000130,CR000018,CL00015,5,2026-05-05,,193000,0,Efectivo aliado,Pendiente,0
PG00000131,CR000019,CL00016,1,2024-12-14,2024-12-13,561000,561000,Efectivo aliado,Pagado,0
PG00000132,CR000019,CL00016,2,2025-01-14,2025-01-14,561000,561000,Transferencia,Pagado,0
PG00000133,CR000019,CL00016,3,2025-02-14,2025-02-14,561000,561000,Transferencia,Pagado,0
PG00000134,CR000019,CL00016,4,2025-03-14,2025-03-14,561000,561000,PSE,Pagado,0
PG00000135,CR000019,CL00016,5,2025-04-14,2025-04-13,561000,561000,PSE,Pagado,0
PG00000136,CR000019,CL00016,6,2025-05-14,2025-05-13,561000,561000,Efectivo aliado,Pagado,0
PG00000137,CR000019,CL00016,7,2025-06-14,2025-06-13,561000,561000,Transferencia,Pagado,0
PG00000138,CR000019,CL00016,8,2025-07-14,2025-07-11,561000,561000,Billetera digital,Pagado,0
PG00000139,CR000019,CL00016,9,2025-08-14,2025-08-25,561000,561000,Efectivo aliado,Pagado tardío,11
PG00000140,CR000020,CL00017,1,2025-11-17,2025-12-02,533000,533000,Efectivo aliado,Pagado tardío,15
PG00000141,CR000020,CL00017,2,2025-12-17,2025-12-10,533000,533000,PSE,Pagado,0
PG00000142,CR000020,CL00017,3,2026-01-17,2026-01-16,533000,533000,Transferencia,Pagado,0
PG00000143,CR000020,CL00017,4,2026-02-17,2026-02-20,533000,533000,Transferencia,Pagado tardío,3
PG00000144,CR000020,CL00017,5,2026-03-17,2026-03-17,533000,533000,Transferencia,Pagado,0
PG00000145,CR000020,CL00017,6,2026-04-17,2026-04-17,533000,533000,PSE,Pagado,0
PG00000146,CR000021,CL00018,1,2024-12-27,2024-12-27,154000,154000,Efectivo aliado,Pagado,0
PG00000147,CR000021,CL00018,2,2025-01-27,2025-01-26,154000,154000,PSE,Pagado,0
PG00000148,CR000021,CL00018,3,2025-02-27,2025-02-27,154000,154000,PSE,Pagado,0
PG00000149,CR000021,CL00018,4,2025-03-27,2025-03-30,154000,133000,PSE,Parcial,3
PG00000150,CR000021,CL00018,5,2025-04-27,2025-04-20,154000,154000,Transferencia,Pagado,0
PG00000151,CR000021,CL00018,6,2025-05-27,2025-05-27,154000,154000,Efectivo aliado,Pagado,0
PG00000152,CR000022,CL00020,1,2025-05-07,2025-05-06,695000,695000,PSE,Pagado,0
PG00000153,CR000022,CL00020,2,2025-06-07,2025-06-06,695000,695000,PSE,Pagado,0
PG00000154,CR000022,CL00020,3,2025-07-07,2025-07-07,695000,875000,PSE,Pagado,0
PG00000155,CR000023,CL00023,1,2026-02-26,2026-02-24,532000,532000,Débito automático,Pagado,0
PG00000156,CR000023,CL00023,2,2026-03-26,2026-03-25,532000,532000,Efectivo aliado,Pagado,0
PG00000157,CR000023,CL00023,3,2026-04-26,2026-04-26,532000,532000,PSE,Pagado,0
PG00000158,CR000024,CL00026,1,2025-11-28,2025-11-26,207000,207000,PSE,Pagado,0
PG00000159,CR000024,CL00026,2,2025-12-28,2025-12-27,207000,207000,Transferencia,Pagado,0
PG00000160,CR000024,CL00026,3,2026-01-28,2026-01-28,207000,207000,Débito automático,Pagado,0
PG00000161,CR000024,CL00026,4,2026-02-28,2026-02-28,207000,207000,PSE,Pagado,0
PG00000162,CR000024,CL00026,5,2026-03-28,2026-03-23,207000,207000,Efectivo aliado,Pagado,0
PG00000163,CR000024,CL00026,6,2026-04-28,,207000,0,PSE,Vencido,2
PG00000164,CR000025,CL00027,1,2024-04-03,2024-03-31,127000,127000,Billetera digital,Pagado,0
PG00000165,CR000025,CL00027,2,2024-05-03,2024-05-03,127000,127000,PSE,Pagado,0
PG00000166,CR000025,CL00027,3,2024-06-03,2024-06-03,127000,127000,PSE,Pagado,0
PG00000167,CR000025,CL00027,4,2024-07-03,2024-07-03,127000,127000,Transferencia,Pagado,0
PG00000168,CR000025,CL00027,5,2024-08-03,2024-07-31,127000,127000,PSE,Pagado,0
PG00000169,CR000025,CL00027,6,2024-09-03,2024-08-31,127000,127000,PSE,Pagado,0
PG00000170,CR000025,CL00027,7,2024-10-03,2024-12-14,127000,127000,Transferencia,Pagado tardío,72
PG00000171,CR000025,CL00027,8,2024-11-03,2024-10-31,127000,127000,Efectivo aliado,Pagado,0
PG00000172,CR000025,CL00027,9,2024-12-03,2024-12-02,127000,127000,Billetera digital,Pagado,0
PG00000173,CR000025,CL00027,10,2025-01-03,2025-01-03,127000,127000,PSE,Pagado,0
PG00000174,CR000025,CL00027,11,2025-02-03,2025-02-01,127000,127000,Transferencia,Pagado,0
PG00000175,CR000025,CL00027,12,2025-03-03,2025-02-24,127000,127000,PSE,Pagado,0
PG00000176,CR000026,CL00028,1,2025-06-15,2025-06-15,81000,81000,Billetera digital,Pagado,0
PG00000177,CR000026,CL00028,2,2025-07-15,2025-07-10,81000,81000,Transferencia,Pagado,0
PG00000178,CR000026,CL00028,3,2025-08-15,2025-08-15,81000,81000,Transferencia,Pagado,0
PG00000179,CR000026,CL00028,4,2025-09-15,2025-09-30,81000,81000,PSE,Pagado tardío,15
PG00000180,CR000026,CL00028,5,2025-10-15,2025-10-14,81000,81000,Transferencia,Pagado,0
PG00000181,CR000026,CL00028,6,2025-11-15,2025-11-14,81000,81000,PSE,Pagado,0
PG00000182,CR000026,CL00028,7,2025-12-15,2026-02-08,81000,81000,Efectivo aliado,Pagado tardío,55
PG00000183,CR000026,CL00028,8,2026-01-15,2026-01-15,81000,81000,Débito automático,Pagado,0
PG00000184,CR000026,CL00028,9,2026-02-15,,81000,0,PSE,Mora,74
PG00000185,CR000026,CL00028,10,2026-03-15,2026-03-16,81000,81000,Débito automático,Pagado tardío,1
PG00000186,CR000026,CL00028,11,2026-04-15,2026-04-15,81000,81000,Transferencia,Pagado,0
PG00000187,CR000026,CL00028,12,2026-05-15,,81000,0,PSE,Pendiente,0
PG00000188,CR000027,CL00028,1,2025-11-03,2025-11-10,361000,361000,Débito automático,Pagado tardío,7
PG00000189,CR000027,CL00028,2,2025-12-03,2025-12-16,361000,165000,Billetera digital,Parcial,13
PG00000190,CR000027,CL00028,3,2026-01-03,2026-01-03,361000,361000,Efectivo aliado,Pagado,0
PG00000191,CR000027,CL00028,4,2026-02-03,2026-02-17,361000,361000,Transferencia,Pagado tardío,14
PG00000192,CR000027,CL00028,5,2026-03-03,2026-02-28,361000,361000,Efectivo aliado,Pagado,0
PG00000193,CR000027,CL00028,6,2026-04-03,2026-03-27,361000,361000,Efectivo aliado,Pagado,0
PG00000194,CR000028,CL00028,1,2026-01-20,2026-01-20,468000,468000,PSE,Pagado,0
PG00000195,CR000028,CL00028,2,2026-02-20,2026-03-14,468000,468000,Efectivo aliado,Pagado tardío,22
PG00000196,CR000028,CL00028,3,2026-03-20,2026-03-20,468000,468000,Transferencia,Pagado,0
PG00000197,CR000028,CL00028,4,2026-04-20,2026-04-25,468000,468000,Efectivo aliado,Pagado tardío,5
PG00000198,CR000029,CL00029,1,2025-11-10,2025-11-09,614000,614000,PSE,Pagado,0
PG00000199,CR000029,CL00029,2,2025-12-10,2025-11-30,614000,614000,Transferencia,Pagado,0
PG00000200,CR000029,CL00029,3,2026-01-10,2026-01-08,614000,614000,PSE,Pagado,0
PG00000201,CR000029,CL00029,4,2026-02-10,2026-02-10,614000,614000,PSE,Pagado,0
PG00000202,CR000029,CL00029,5,2026-03-10,2026-03-09,614000,614000,Efectivo aliado,Pagado,0
PG00000203,CR000029,CL00029,6,2026-04-10,2026-04-08,614000,614000,Transferencia,Pagado,0
PG00000204,CR000030,CL00030,1,2026-01-18,2026-01-15,416000,416000,PSE,Pagado,0
PG00000205,CR000030,CL00030,2,2026-02-18,2026-02-11,416000,416000,Transferencia,Pagado,0
PG00000206,CR000030,CL00030,3,2026-03-18,2026-03-16,416000,416000,Débito automático,Pagado,0
PG00000207,CR000030,CL00030,4,2026-04-18,2026-04-18,416000,416000,Débito automático,Pagado,0
PG00000208,CR000031,CL00031,1,2026-02-28,2026-02-28,643000,643000,Transferencia,Pagado,0
PG00000209,CR000031,CL00031,2,2026-03-29,2026-03-27,643000,643000,Débito automático,Pagado,0
PG00000210,CR000031,CL00031,3,2026-04-29,2026-04-29,643000,797000,PSE,Pagado,0
PG00000211,CR000032,CL00033,1,2025-09-11,2025-09-11,422000,422000,PSE,Pagado,0
PG00000212,CR000032,CL00033,2,2025-10-11,2025-10-11,422000,422000,Transferencia,Pagado,0
PG00000213,CR000032,CL00033,3,2025-11-11,2025-11-06,422000,422000,Efectivo aliado,Pagado,0
PG00000214,CR000032,CL00033,4,2025-12-11,2025-12-10,422000,455000,PSE,Pagado,0
PG00000215,CR000032,CL00033,5,2026-01-11,2026-01-08,422000,422000,Billetera digital,Pagado,0
PG00000216,CR000032,CL00033,6,2026-02-11,2026-02-01,422000,422000,Transferencia,Pagado,0
PG00000217,CR000032,CL00033,7,2026-03-11,2026-03-04,422000,422000,PSE,Pagado,0
PG00000218,CR000032,CL00033,8,2026-04-11,2026-04-10,422000,422000,Efectivo aliado,Pagado,0
PG00000219,CR000032,CL00033,9,2026-05-11,,422000,0,Transferencia,Pendiente,0
PG00000220,CR000033,CL00034,1,2026-03-01,2026-02-27,127000,127000,Débito automático,Pagado,0
PG00000221,CR000033,CL00034,2,2026-04-01,2026-03-30,127000,127000,Efectivo aliado,Pagado,0
PG00000222,CR000033,CL00034,3,2026-05-01,,127000,0,PSE,Pendiente,0
PG00000223,CR000034,CL00034,1,2025-09-01,2025-09-01,123000,123000,Efectivo aliado,Pagado,0
PG00000224,CR000034,CL00034,2,2025-10-01,2025-11-02,123000,63000,Efectivo aliado,Parcial,32
PG00000225,CR000034,CL00034,3,2025-11-01,2025-11-01,123000,123000,PSE,Pagado,0
PG00000226,CR000034,CL00034,4,2025-12-01,2025-11-24,123000,168000,Transferencia,Pagado,0
PG00000227,CR000034,CL00034,5,2026-01-01,2025-12-27,123000,123000,PSE,Pagado,0
PG00000228,CR000034,CL00034,6,2026-02-01,2026-02-10,123000,123000,Débito automático,Pagado tardío,9
PG00000229,CR000034,CL00034,7,2026-03-01,2026-02-27,123000,123000,PSE,Pagado,0
PG00000230,CR000034,CL00034,8,2026-04-01,2026-03-29,123000,123000,Billetera digital,Pagado,0
PG00000231,CR000034,CL00034,9,2026-05-01,,123000,0,PSE,Pendiente,0
PG00000232,CR000035,CL00035,1,2025-04-21,2025-04-21,766000,766000,Efectivo aliado,Pagado,0
PG00000233,CR000035,CL00035,2,2025-05-21,2025-05-20,766000,766000,Billetera digital,Pagado,0
PG00000234,CR000035,CL00035,3,2025-06-21,2025-06-20,766000,766000,Efectivo aliado,Pagado,0
PG00000235,CR000035,CL00035,4,2025-07-21,2025-07-21,766000,766000,PSE,Pagado,0
PG00000236,CR000035,CL00035,5,2025-08-21,2025-08-20,766000,766000,PSE,Pagado,0
PG00000237,CR000035,CL00035,6,2025-09-21,2025-09-20,766000,766000,Efectivo aliado,Pagado,0
PG00000238,CR000036,CL00036,1,2025-10-29,2025-10-27,90000,90000,PSE,Pagado,0
PG00000239,CR000036,CL00036,2,2025-11-29,2025-11-29,90000,90000,PSE,Pagado,0
PG00000240,CR000036,CL00036,3,2025-12-29,2025-12-24,90000,90000,PSE,Pagado,0
PG00000241,CR000036,CL00036,4,2026-01-29,2026-01-29,90000,90000,PSE,Pagado,0
PG00000242,CR000036,CL00036,5,2026-02-28,2026-02-27,90000,90000,PSE,Pagado,0
PG00000243,CR000036,CL00036,6,2026-03-29,2026-03-28,90000,90000,Transferencia,Pagado,0
PG00000244,CR000036,CL00036,7,2026-04-29,,90000,0,PSE,Vencido,1
PG00000245,CR000037,CL00036,1,2025-12-03,2025-12-03,1188000,1188000,Billetera digital,Pagado,0
PG00000246,CR000037,CL00036,2,2026-01-03,2026-01-16,1188000,1066000,Efectivo aliado,Parcial,13
PG00000247,CR000037,CL00036,3,2026-02-03,2026-02-16,1188000,1188000,Efectivo aliado,Pagado tardío,13
PG00000248,CR000037,CL00036,4,2026-03-03,2026-02-28,1188000,1188000,PSE,Pagado,0
PG00000249,CR000037,CL00036,5,2026-04-03,,1188000,0,PSE,Vencido,27
PG00000250,CR000037,CL00036,6,2026-05-03,,1188000,0,PSE,Pendiente,0
PG00000251,CR000038,CL00037,1,2025-11-10,2026-01-01,1178000,1178000,PSE,Pagado tardío,52
PG00000252,CR000038,CL00037,2,2025-12-10,2025-12-08,1178000,1178000,PSE,Pagado,0
PG00000253,CR000038,CL00037,3,2026-01-10,2026-01-12,1178000,1178000,PSE,Pagado tardío,2
PG00000254,CR000038,CL00037,4,2026-02-10,2026-02-09,1178000,1178000,Efectivo aliado,Pagado,0
PG00000255,CR000038,CL00037,5,2026-03-10,2026-03-10,1178000,1178000,Efectivo aliado,Pagado,0
PG00000256,CR000038,CL00037,6,2026-04-10,2026-04-10,1178000,1178000,Billetera digital,Pagado,0
PG00000257,CR000039,CL00038,1,2025-10-19,2025-10-19,195000,195000,PSE,Pagado,0
PG00000258,CR000039,CL00038,2,2025-11-19,2026-01-31,195000,195000,Efectivo aliado,Pagado tardío,73
PG00000259,CR000039,CL00038,3,2025-12-19,2025-12-16,195000,195000,Billetera digital,Pagado,0
PG00000260,CR000039,CL00038,4,2026-01-19,2026-02-15,195000,195000,Billetera digital,Pagado tardío,27
PG00000261,CR000039,CL00038,5,2026-02-19,,195000,0,PSE,Mora,70
PG00000262,CR000039,CL00038,6,2026-03-19,,195000,0,Efectivo aliado,Mora,42
PG00000263,CR000039,CL00038,7,2026-04-19,2026-04-17,195000,195000,Transferencia,Pagado,0
PG00000264,CR000040,CL00039,1,2025-12-29,2025-12-28,483000,483000,PSE,Pagado,0
PG00000265,CR000040,CL00039,2,2026-01-29,2026-01-27,483000,483000,PSE,Pagado,0
PG00000266,CR000040,CL00039,3,2026-02-28,2026-02-28,483000,483000,Transferencia,Pagado,0
PG00000267,CR000040,CL00039,4,2026-03-29,2026-03-28,483000,483000,Efectivo aliado,Pagado,0
PG00000268,CR000040,CL00039,5,2026-04-29,2026-04-28,483000,483000,PSE,Pagado,0
PG00000269,CR000041,CL00039,1,2024-07-27,2024-07-27,417000,417000,PSE,Pagado,0
PG00000270,CR000041,CL00039,2,2024-08-27,2024-08-26,417000,417000,Efectivo aliado,Pagado,0
PG00000271,CR000041,CL00039,3,2024-09-27,2024-09-27,417000,417000,PSE,Pagado,0
