evento_id,cliente_id,fecha_evento,tipo_evento,canal,resultado_evento,dispositivo,duracion_sesion_seg
EV00000074,CL00008,2025-12-13,consulta_saldo,app,exitoso,Android,144
EV00000075,CL00008,2026-03-14,login,app,exitoso,Android,176
EV00000076,CL00008,2024-12-04,solicitud_soporte,app,escalado,Android,271
EV00000077,CL00008,2024-07-25,pago_iniciado,app,exitoso,Android,59
EV00000078,CL00008,2025-03-10,login,app,exitoso,Android,49
EV00000079,CL00008,2025-04-17,consulta_saldo,app,abandonado,Android,222
EV00000080,CL00009,2025-10-30,consulta_saldo,app,exitoso,Web,391
EV00000081,CL00009,2025-12-31,actualizacion_datos,web,exitoso,Web,24
EV00000082,CL00009,2025-12-28,consulta_saldo,web,exitoso,Web,90
EV00000083,CL00009,2026-04-24,actualizacion_datos,app,exitoso,Web,116
EV00000084,CL00009,2026-01-18,login,app,exitoso,Web,116
EV00000085,CL00009,2025-12-09,login,app,exitoso,Web,163
EV00000086,CL00010,2025-04-18,consulta_saldo,app,exitoso,Android,268
EV00000087,CL00010,2025-04-17,consulta_saldo,app,exitoso,Android,8
EV00000088,CL00010,2025-02-01,simulacion_credito,app,exitoso,Android,158
EV00000089,CL00010,2025-11-24,solicitud_soporte,app,resuelto,Android,117
EV00000090,CL00010,2026-01-14,pago_exitoso,app,exitoso,Android,236
EV00000091,CL00010,2026-03-05,pago_exitoso,app,exitoso,Android,197
EV00000092,CL00010,2025-10-29,login,web,exitoso,Android,140
EV00000093,CL00010,2025-08-09,solicitud_soporte,app,resuelto,Android,29
EV00000094,CL00010,2024-12-11,login,app,abandonado,Android,124
EV00000095,CL00010,2025-01-29,solicitud_soporte,app,escalado,Android,229
EV00000096,CL00010,2025-04-19,login,app,exitoso,Android,294
EV00000097,CL00010,2026-02-23,pago_iniciado,app,abandonado,Android,57
EV00000098,CL00011,2026-01-21,pago_iniciado,app,abandonado,Android,26
EV00000099,CL00011,2025-10-14,pago_iniciado,whatsapp,exitoso,Android,581
EV00000100,CL00011,2025-12-27,simulacion_credito,app,exitoso,Android,175
EV00000101,CL00011,2026-03-03,login,app,abandonado,Android,81
EV00000102,CL00011,2026-03-13,login,call_center,exitoso,Android,378
EV00000103,CL00011,2026-04-23,login,whatsapp,exitoso,Android,205
EV00000104,CL00011,2026-02-03,solicitud_soporte,app,resuelto,Android,85
EV00000105,CL00011,2026-01-14,login,whatsapp,exitoso,Android,71
EV00000106,CL00011,2025-12-28,consulta_saldo,app,exitoso,Android,350
EV00000107,CL00011,2025-11-01,actualizacion_datos,call_center,abandonado,Android,31
EV00000108,CL00011,2026-01-26,pago_iniciado,app,exitoso,Android,204
EV00000109,CL00011,2026-03-04,consulta_saldo,app,exitoso,Android,197
EV00000110,CL00012,2024-05-05,login,app,exitoso,Android,78
EV00000111,CL00012,2025-12-14,login,app,exitoso,Android,195
EV00000112,CL00012,2025-07-12,login,call_center,exitoso,Android,200
EV00000113,CL00012,2024-06-14,pago_exitoso,web,exitoso,Android,204
EV00000114,CL00012,2024-05-30,pago_iniciado,call_center,exitoso,Android,598
EV00000115,CL00012,2026-03-13,login,whatsapp,exitoso,Android,150
EV00000116,CL00012,2026-01-03,consulta_saldo,app,exitoso,Android,30
EV00000117,CL00013,2025-08-27,pago_exitoso,app,exitoso,Android,256
EV00000118,CL00013,2026-03-09,pago_fallido,app,error_banco,Android,83
EV00000119,CL00013,2025-03-05,pago_iniciado,web,exitoso,Android,231
EV00000120,CL00013,2026-02-03,pago_exitoso,call_center,exitoso,Android,144
EV00000121,CL00013,2026-03-28,login,app,exitoso,Android,24
EV00000122,CL00013,2025-01-31,consulta_saldo,app,exitoso,Android,121
EV00000123,CL00013,2026-02-04,login,app,exitoso,Android,123
EV00000124,CL00013,2026-04-24,pago_exitoso,web,exitoso,Android,122
EV00000125,CL00013,2025-08-29,pago_iniciado,web,exitoso,Android,130
EV00000126,CL00013,2026-03-15,simulacion_credito,app,abandonado,Android,159
EV00000127,CL00014,2025-12-27,solicitud_soporte,app,resuelto,Android,25
EV00000128,CL00014,2026-01-21,consulta_saldo,app,exitoso,Android,260
EV00000129,CL00014,2025-11-17,login,app,abandonado,Android,125
EV00000130,CL00014,2025-11-06,login,web,abandonado,Android,66
EV00000131,CL00014,2025-10-05,actualizacion_datos,app,exitoso,Android,213
EV00000132,CL00014,2026-03-25,login,app,exitoso,Android,99
EV00000133,CL00014,2026-03-15,pago_iniciado,whatsapp,abandonado,Android,169
EV00000134,CL00014,2026-03-30,pago_iniciado,app,exitoso,Android,149
EV00000135,CL00014,2025-10-23,consulta_saldo,app,abandonado,Android,168
EV00000136,CL00014,2025-11-17,pago_exitoso,app,abandonado,Android,180
EV00000137,CL00015,2026-03-11,pago_fallido,app,fondos_insuficientes,iOS,145
EV00000138,CL00015,2026-03-23,pago_iniciado,web,exitoso,iOS,197
EV00000139,CL00015,2026-01-27,login,app,exitoso,iOS,142
EV00000140,CL00015,2026-04-15,login,web,abandonado,iOS,77
EV00000141,CL00015,2026-02-28,login,app,exitoso,iOS,338
EV00000142,CL00015,2026-03-30,consulta_saldo,app,abandonado,iOS,377
EV00000143,CL00015,2026-03-03,consulta_saldo,web,exitoso,iOS,287
EV00000144,CL00015,2026-02-24,solicitud_soporte,app,resuelto,iOS,37
EV00000145,CL00015,2026-04-29,actualizacion_datos,app,exitoso,iOS,410
EV00000146,CL00015,2026-03-26,actualizacion_datos,web,exitoso,iOS,155
EV00000147,CL00015,2026-03-11,pago_fallido,app,error_banco,iOS,108
EV00000148,CL00015,2026-01-03,pago_exitoso,app,exitoso,iOS,117
EV00000149,CL00015,2026-02-13,consulta_saldo,app,exitoso,iOS,70
EV00000150,CL00015,2026-01-10,actualizacion_datos,web,exitoso,iOS,24
EV00000151,CL00015,2026-01-14,pago_iniciado,app,exitoso,iOS,153
EV00000152,CL00015,2026-01-12,pago_iniciado,call_center,exitoso,iOS,75
EV00000153,CL00015,2026-04-18,pago_iniciado,app,exitoso,iOS,34
EV00000154,CL00015,2026-04-18,consulta_saldo,app,exitoso,iOS,303
EV00000155,CL00015,2026-02-09,consulta_saldo,app,exitoso,iOS,49
EV00000156,CL00015,2026-02-22,pago_iniciado,web,exitoso,iOS,32
EV00000157,CL00015,2026-03-19,login,web,exitoso,iOS,224
EV00000158,CL00015,2026-01-26,login,app,exitoso,iOS,26
EV00000159,CL00015,2026-03-19,pago_iniciado,web,exitoso,iOS,248
EV00000160,CL00015,2026-04-15,login,app,exitoso,iOS,200
EV00000161,CL00016,2024-01-15,actualizacion_datos,app,exitoso,Web,100
EV00000162,CL00016,2023-04-06,pago_iniciado,app,abandonado,Web,406
EV00000163,CL00016,2024-03-04,actualizacion_datos,call_center,exitoso,Web,144
EV00000164,CL00016,2025-03-13,solicitud_soporte,call_center,resuelto,Web,31
EV00000165,CL00016,2025-01-07,solicitud_soporte,app,resuelto,Web,164
EV00000166,CL00016,2025-05-26,consulta_saldo,app,exitoso,Web,22
EV00000167,CL00016,2025-06-14,simulacion_credito,app,exitoso,Web,130
EV00000168,CL00017,2025-01-01,consulta_saldo,app,abandonado,iOS,118
EV00000169,CL00017,2025-02-03,login,app,exitoso,iOS,55
EV00000170,CL00017,2025-12-31,pago_exitoso,app,exitoso,iOS,182
EV00000171,CL00017,2025-11-27,consulta_saldo,app,exitoso,iOS,271
EV00000172,CL00017,2026-03-19,consulta_saldo,whatsapp,exitoso,iOS,160
EV00000173,CL00017,2025-05-11,login,app,exitoso,iOS,457
EV00000174,CL00017,2026-02-11,actualizacion_datos,whatsapp,exitoso,iOS,195
EV00000175,CL00017,2024-12-09,pago_exitoso,whatsapp,exitoso,iOS,114
EV00000176,CL00017,2024-12-14,simulacion_credito,app,exitoso,iOS,153
EV00000177,CL00017,2026-04-14,login,app,abandonado,iOS,38
EV00000178,CL00018,2025-12-07,login,app,abandonado,Android,23
EV00000179,CL00018,2025-04-19,login,web,exitoso,Android,77
EV00000180,CL00018,2024-11-29,consulta_saldo,web,exitoso,Android,131
EV00000181,CL00018,2026-02-21,login,app,exitoso,Android,448
EV00000182,CL00018,2024-12-27,solicitud_soporte,app,escalado,Android,65
EV00000183,CL00018,2024-09-15,login,app,abandonado,Android,110
EV00000184,CL00018,2024-09-17,login,app,exitoso,Android,130
EV00000185,CL00018,2025-04-19,pago_iniciado,app,exitoso,Android,88
EV00000186,CL00018,2025-11-04,login,app,exitoso,Android,5
EV00000187,CL00018,2024-05-26,consulta_saldo,app,exitoso,Android,159
EV00000188,CL00018,2025-08-01,pago_iniciado,call_center,exitoso,Android,103
EV00000189,CL00018,2025-09-26,solicitud_soporte,whatsapp,escalado,Android,190
EV00000190,CL00019,2026-03-03,pago_iniciado,app,abandonado,Android,193
EV00000191,CL00019,2026-04-26,consulta_saldo,app,exitoso,Android,46
EV00000192,CL00019,2024-12-12,pago_exitoso,app,exitoso,Android,254
EV00000193,CL00020,2023-09-12,pago_fallido,app,fondos_insuficientes,Android,160
EV00000194,CL00020,2025-10-31,consulta_saldo,app,exitoso,Android,160
EV00000195,CL00020,2024-07-11,login,app,exitoso,Android,77
EV00000196,CL00020,2026-02-27,login,app,exitoso,Android,6
EV00000197,CL00020,2024-12-10,login,app,exitoso,Android,203
EV00000198,CL00020,2024-01-14,login,app,exitoso,Android,60
EV00000199,CL00020,2025-02-14,login,web,exitoso,Android,299
EV00000200,CL00020,2024-04-14,solicitud_soporte,app,resuelto,Android,47
EV00000201,CL00020,2026-03-20,solicitud_soporte,app,resuelto,Android,116
EV00000202,CL00020,2024-08-12,pago_iniciado,app,abandonado,Android,89
EV00000203,CL00020,2023-12-17,login,app,abandonado,Android,59
EV00000204,CL00020,2024-10-30,pago_iniciado,app,exitoso,Android,77
EV00000205,CL00020,2023-09-05,pago_exitoso,app,exitoso,Android,155
EV00000206,CL00021,2025-06-26,actualizacion_datos,app,exitoso,Android,178
EV00000207,CL00021,2025-10-08,consulta_saldo,web,exitoso,Android,346
EV00000208,CL00021,2024-05-02,consulta_saldo,app,exitoso,Android,41
EV00000209,CL00021,2025-09-23,pago_iniciado,web,exitoso,Android,118
EV00000210,CL00021,2024-12-09,pago_fallido,app,fondos_insuficientes,Android,119
EV00000211,CL00021,2023-12-23,pago_iniciado,app,abandonado,Android,203
EV00000212,CL00021,2026-03-02,simulacion_credito,app,abandonado,Android,28
EV00000213,CL00021,2024-10-30,login,call_center,exitoso,Android,148
EV00000214,CL00021,2024-04-18,login,app,exitoso,Android,106
EV00000215,CL00022,2025-02-24,simulacion_credito,app,exitoso,Android,69
EV00000216,CL00022,2024-09-19,login,app,abandonado,Android,97
EV00000217,CL00022,2024-01-23,simulacion_credito,app,exitoso,Android,83
EV00000218,CL00022,2026-04-22,pago_iniciado,app,exitoso,Android,78
EV00000219,CL00023,2026-04-07,consulta_saldo,whatsapp,exitoso,Android,131
EV00000220,CL00023,2025-12-16,actualizacion_datos,web,abandonado,Android,65
EV00000221,CL00023,2026-04-16,pago_iniciado,web,exitoso,Android,65
EV00000222,CL00023,2026-03-25,solicitud_soporte,app,resuelto,Android,38
EV00000223,CL00023,2026-02-06,pago_iniciado,app,exitoso,Android,46
EV00000224,CL00024,2025-04-22,login,web,exitoso,Android,75
EV00000225,CL00024,2025-10-22,login,app,exitoso,Android,47
EV00000226,CL00024,2025-09-11,consulta_saldo,call_center,exitoso,Android,158
EV00000227,CL00024,2026-02-11,pago_iniciado,app,exitoso,Android,193
EV00000228,CL00025,2023-12-14,consulta_saldo,app,exitoso,iOS,67
EV00000229,CL00025,2023-12-02,login,app,exitoso,iOS,13
EV00000230,CL00025,2024-09-16,login,app,exitoso,iOS,293
EV00000231,CL00025,2024-08-01,login,whatsapp,abandonado,iOS,45
EV00000232,CL00025,2025-09-01,login,app,exitoso,iOS,121
EV00000233,CL00025,2026-02-24,simulacion_credito,call_center,exitoso,iOS,106
EV00000234,CL00025,2025-05-24,actualizacion_datos,app,exitoso,iOS,101
EV00000235,CL00025,2026-01-20,consulta_saldo,call_center,exitoso,iOS,69
EV00000236,CL00026,2025-11-22,pago_iniciado,app,exitoso,Android,288
EV00000237,CL00026,2026-04-15,login,web,exitoso,Android,195
EV00000238,CL00026,2025-12-17,solicitud_soporte,app,resuelto,Android,200
EV00000239,CL00026,2026-04-04,login,app,abandonado,Android,67
EV00000240,CL00026,2026-01-09,simulacion_credito,app,exitoso,Android,269
EV00000241,CL00026,2025-12-22,solicitud_soporte,app,resuelto,Android,123
EV00000242,CL00027,2023-07-15,login,web,exitoso,iOS,8
EV00000243,CL00027,2025-09-09,consulta_saldo,web,abandonado,iOS,369
EV00000244,CL00027,2026-02-06,login,web,exitoso,iOS,110
EV00000245,CL00027,2024-01-02,login,app,exitoso,iOS,140
EV00000246,CL00028,2026-01-03,login,app,exitoso,iOS,42
EV00000247,CL00028,2026-04-16,consulta_saldo,app,exitoso,iOS,565
EV00000248,CL00028,2026-03-02,pago_iniciado,app,exitoso,iOS,158
EV00000249,CL00028,2026-04-11,login,app,exitoso,iOS,19
EV00000250,CL00028,2025-12-29,consulta_saldo,app,exitoso,iOS,338
EV00000251,CL00028,2026-03-31,actualizacion_datos,whatsapp,exitoso,iOS,31
EV00000252,CL00028,2025-11-18,consulta_saldo,whatsapp,exitoso,iOS,104
EV00000253,CL00028,2025-12-05,consulta_saldo,app,abandonado,iOS,121
EV00000254,CL00028,2026-04-04,pago_iniciado,app,exitoso,iOS,118
EV00000255,CL00028,2026-01-22,simulacion_credito,app,exitoso,iOS,84
EV00000256,CL00028,2026-04-19,login,web,exitoso,iOS,185
EV00000257,CL00028,2025-12-14,login,web,exitoso,iOS,180
EV00000258,CL00028,2026-01-15,login,app,exitoso,iOS,134
EV00000259,CL00028,2026-03-07,login,call_center,exitoso,iOS,271
EV00000260,CL00028,2025-12-06,pago_iniciado,call_center,exitoso,iOS,73
EV00000261,CL00028,2026-01-21,login,web,exitoso,iOS,160
EV00000262,CL00028,2025-11-30,login,call_center,exitoso,iOS,28
EV00000263,CL00028,2026-02-20,login,app,exitoso,iOS,90
EV00000264,CL00029,2025-06-25,pago_iniciado,call_center,exitoso,Android,95
EV00000265,CL00029,2024-10-24,solicitud_soporte,app,resuelto,Android,562
EV00000266,CL00029,2026-03-12,pago_iniciado,app,exitoso,Android,163
EV00000267,CL00029,2026-02-23,pago_iniciado,app,exitoso,Android,107
EV00000268,CL00029,2025-02-22,pago_exitoso,app,exitoso,Android,213
EV00000269,CL00029,2024-07-10,solicitud_soporte,app,resuelto,Android,112
EV00000270,CL00029,2025-07-02,actualizacion_datos,whatsapp,exitoso,Android,128
EV00000271,CL00029,2025-04-05,consulta_saldo,app,abandonado,Android,81
EV00000272,CL00029,2025-01-18,login,app,exitoso,Android,249
EV00000273,CL00029,2025-04-04,solicitud_soporte,app,sin_contacto,Android,124
EV00000274,CL00030,2026-04-24,pago_fallido,call_center,timeout,Android,356
EV00000275,CL00030,2026-01-09,solicitud_soporte,app,sin_contacto,Android,103
EV00000276,CL00030,2025-12-31,pago_iniciado,whatsapp,exitoso,Android,256
EV00000277,CL00030,2025-11-25,pago_exitoso,web,abandonado,Android,25
EV00000278,CL00030,2026-02-12,pago_iniciado,whatsapp,exitoso,Android,131
EV00000279,CL00030,2026-04-29,pago_exitoso,app,abandonado,Android,99
EV00000280,CL00030,2026-04-19,login,whatsapp,exitoso,Android,126
EV00000281,CL00030,2026-01-06,login,app,exitoso,Android,58
EV00000282,CL00030,2026-03-27,pago_iniciado,app,exitoso,Android,189
EV00000283,CL00031,2025-10-31,solicitud_soporte,app,sin_contacto,Android,92
EV00000284,CL00031,2024-06-24,simulacion_credito,app,exitoso,Android,65
EV00000285,CL00031,2025-01-08,consulta_saldo,app,exitoso,Android,95
EV00000286,CL00031,2025-06-23,pago_exitoso,web,exitoso,Android,82
EV00000287,CL00031,2025-05-24,solicitud_soporte,app,resuelto,Android,154
EV00000288,CL00031,2024-11-12,login,app,exitoso,Android,67
EV00000289,CL00032,2026-01-22,login,app,exitoso,Web,268
EV00000290,CL00032,2024-10-29,consulta_saldo,call_center,exitoso,Web,290
EV00000291,CL00032,2025-10-07,actualizacion_datos,web,exitoso,Web,134
EV00000292,CL00032,2023-04-10,consulta_saldo,app,exitoso,Web,174
EV00000293,CL00033,2026-01-12,login,app,exitoso,Android,74
EV00000294,CL00033,2026-03-06,solicitud_soporte,web,escalado,Android,143
EV00000295,CL00033,2025-07-31,simulacion_credito,app,exitoso,Android,159
EV00000296,CL00033,2025-10-08,login,web,exitoso,Android,185
EV00000297,CL00033,2026-01-07,pago_iniciado,app,exitoso,Android,53
EV00000298,CL00033,2025-11-19,pago_exitoso,app,abandonado,Android,108
EV00000299,CL00034,2026-02-27,login,whatsapp,exitoso,Android,347
EV00000300,CL00034,2026-04-01,consulta_saldo,app,exitoso,Android,46
EV00000301,CL00034,2026-03-09,pago_fallido,web,fondos_insuficientes,Android,139
EV00000302,CL00034,2026-03-28,solicitud_soporte,app,escalado,Android,283
EV00000303,CL00034,2026-02-23,login,app,exitoso,Android,44
EV00000304,CL00034,2026-02-12,login,web,exitoso,Android,111
EV00000305,CL00034,2026-03-15,consulta_saldo,app,exitoso,Android,81
EV00000306,CL00034,2026-04-20,actualizacion_datos,app,exitoso,Android,29
EV00000307,CL00034,2026-02-05,login,app,exitoso,Android,155
EV00000308,CL00034,2026-01-15,actualizacion_datos,web,exitoso,Android,142
EV00000309,CL00034,2026-01-18,solicitud_soporte,app,resuelto,Android,223
EV00000310,CL00034,2026-03-31,solicitud_soporte,web,escalado,Android,98
EV00000311,CL00034,2026-03-26,pago_iniciado,app,exitoso,Android,136
EV00000312,CL00034,2026-04-24,consulta_saldo,app,exitoso,Android,156
EV00000313,CL00034,2026-02-12,consulta_saldo,app,abandonado,Android,185
EV00000314,CL00034,2026-04-05,simulacion_credito,app,exitoso,Android,720
EV00000315,CL00034,2026-03-20,pago_fallido,app,error_banco,Android,155
EV00000316,CL00034,2026-03-10,pago_iniciado,web,exitoso,Android,83
EV00000317,CL00034,2026-01-08,solicitud_soporte,app,resuelto,Android,129
EV00000318,CL00034,2026-02-13,login,whatsapp,exitoso,Android,57
EV00000319,CL00034,2026-04-26,login,app,exitoso,Android,261
EV00000320,CL00034,2026-02-20,actualizacion_datos,app,exitoso,Android,128
EV00000321,CL00035,2025-09-06,login,call_center,exitoso,Android,88
EV00000322,CL00035,2025-11-09,login,web,exitoso,Android,63
EV00000323,CL00035,2025-06-24,login,app,exitoso,Android,44
EV00000324,CL00035,2025-03-29,solicitud_soporte,call_center,resuelto,Android,56
EV00000325,CL00035,2025-02-21,login,app,exitoso,Android,188
EV00000326,CL00035,2025-04-26,login,app,abandonado,Android,81
EV00000327,CL00035,2025-08-07,login,app,exitoso,Android,41
EV00000328,CL00035,2025-06-20,solicitud_soporte,app,resuelto,Android,126
EV00000329,CL00036,2025-12-16,pago_iniciado,app,exitoso,Android,210
EV00000330,CL00036,2025-04-15,pago_fallido,web,error_banco,Android,15
EV00000331,CL00036,2025-08-20,actualizacion_datos,web,exitoso,Android,209
EV00000332,CL00036,2026-01-07,login,app,exitoso,Android,74
EV00000333,CL00036,2026-02-23,pago_fallido,app,fondos_insuficientes,Android,64
EV00000334,CL00036,2026-02-04,consulta_saldo,web,exitoso,Android,80
EV00000335,CL00036,2025-09-04,consulta_saldo,app,exitoso,Android,163
EV00000336,CL00036,2026-04-07,pago_iniciado,whatsapp,exitoso,Android,75
EV00000337,CL00036,2025-09-05,actualizacion_datos,app,abandonado,Android,61
EV00000338,CL00036,2025-05-23,simulacion_credito,app,exitoso,Android,229
EV00000339,CL00036,2025-09-13,login,app,exitoso,Android,154
EV00000340,CL00036,2025-04-29,consulta_saldo,web,exitoso,Android,311
EV00000341,CL00036,2025-09-08,pago_exitoso,app,exitoso,Android,385
EV00000342,CL00036,2025-07-03,login,app,exitoso,Android,67
EV00000343,CL00036,2025-09-25,pago_iniciado,app,exitoso,Android,58
EV00000344,CL00036,2025-03-15,login,whatsapp,abandonado,Android,63
EV00000345,CL00036,2025-07-17,pago_iniciado,app,exitoso,Android,386
EV00000346,CL00037,2025-08-02,consulta_saldo,web,exitoso,Android,203
EV00000347,CL00037,2025-10-18,consulta_saldo,app,abandonado,Android,12
EV00000348,CL00037,2025-11-19,pago_exitoso,app,exitoso,Android,320
EV00000349,CL00037,2025-12-10,actualizacion_datos,app,exitoso,Android,61
EV00000350,CL00037,2026-02-27,login,app,exitoso,Android,211
EV00000351,CL00037,2026-01-04,login,app,exitoso,Android,104
EV00000352,CL00037,2026-03-21,consulta_saldo,web,exitoso,Android,132
EV00000353,CL00037,2025-12-22,consulta_saldo,app,exitoso,Android,138
EV00000354,CL00038,2025-10-25,login,web,exitoso,Android,167
EV00000355,CL00038,2025-11-10,pago_iniciado,web,abandonado,Android,164
EV00000356,CL00038,2025-10-25,solicitud_soporte,app,resuelto,Android,134
EV00000357,CL00038,2025-10-22,login,app,exitoso,Android,38
EV00000358,CL00038,2025-09-17,consulta_saldo,app,exitoso,Android,165
EV00000359,CL00038,2025-12-01,actualizacion_datos,app,exitoso,Android,197
EV00000360,CL00038,2025-11-09,pago_iniciado,app,exitoso,Android,106
EV00000361,CL00038,2026-04-08,consulta_saldo,web,abandonado,Android,315
EV00000362,CL00039,2025-11-25,login,web,exitoso,Android,281
EV00000363,CL00039,2025-10-04,pago_exitoso,app,exitoso,Android,224
EV00000364,CL00039,2024-08-13,actualizacion_datos,app,exitoso,Android,179
EV00000365,CL00039,2026-04-25,pago_exitoso,app,exitoso,Android,286
EV00000366,CL00039,2024-11-10,pago_iniciado,app,exitoso,Android,81
EV00000367,CL00039,2025-02-09,pago_exitoso,app,abandonado,Android,98
EV00000368,CL00039,2026-02-14,simulacion_credito,whatsapp,exitoso,Android,454
EV00000369,CL00039,2025-03-25,pago_iniciado,web,exitoso,Android,130
EV00000370,CL00039,2026-02-27,pago_iniciado,web,exitoso,Android,157
EV00000371,CL00039,2025-09-06,login,whatsapp,exitoso,Android,232
EV00000372,CL00039,2026-02-28,pago_fallido,app,fondos_insuficientes,Android,202
EV00000373,CL00039,2026-01-20,simulacion_credito,web,exitoso,Android,110
EV00000374,CL00039,2024-11-16,consulta_saldo,web,exitoso,Android,195
EV00000375,CL00040,2025-12-11,pago_iniciado,web,exitoso,iOS,281
