credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,riesgo_mora_30,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,total_eventos_pre,duracion_promedio_pre,prob_riesgo
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo,0,19,F,1,Técnico/Tecnólogo,Estudiante,760000.0,435.0,False,3,Android,7.0,148.14285714285714,0.007079106678239452
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo,0,19,M,4,Bachiller,Empleado,2970000.0,506.0,False,4,iOS,,,0.006883861246452691
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa,1,19,M,4,Bachiller,Empleado,2970000.0,506.0,False,4,iOS,,,0.9727346494131379
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo,0,19,M,4,Bachiller,Empleado,2970000.0,506.0,False,4,iOS,,,0.005635435730696524
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado,0,30,F,2,Sin información,Empleado,2340000.0,577.0,True,1,Web,3.0,216.66666666666663,0.01307856780846635
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo,0,26,F,2,Técnico/Tecnólogo,Empleado,3690000.0,658.0,False,1,iOS,5.0,179.4,0.006657052090146711
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado,0,39,M,5,Bachiller,Comerciante,2890000.0,651.0,False,1,Android,3.0,133.0,0.03536299298378605
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado,0,22,M,5,Universitario,Empleado,4890000.0,706.0,True,2,Android,10.0,122.6,0.0062991636030863786
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo,0,37,F,5,Sin información,Empleado,3930000.0,669.0,False,0,Android,1.0,65.0,0.019323995252618693
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo,0,37,F,3,Técnico/Tecnólogo,Independiente,3070000.0,618.0,False,0,Android,,,0.007987794343959758
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa,1,24,F,5,Técnico/Tecnólogo,Independiente,3560000.0,616.0,True,1,iOS,2.0,74.0,0.9795369222527485
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa,1,40,F,4,Sin información,Estudiante,1080000.0,548.0,False,0,iOS,5.0,101.2,0.9845916286145364
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado,0,40,F,4,Sin información,Estudiante,1080000.0,548.0,False,0,iOS,5.0,101.2,0.029149084656188897
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo,0,40,F,4,Sin información,Estudiante,1080000.0,548.0,False,0,iOS,5.0,101.2,0.014775480962012524
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado,0,30,F,2,Técnico/Tecnólogo,Microempresario,3800000.0,645.0,False,0,Android,8.0,195.5,0.010611251468664448
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo,0,33,M,3,Universitario,Empleado,3480000.0,636.0,False,0,Android,1.0,25.0,0.027288898385707326
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo,0,30,M,3,Universitario,Independiente,4440000.0,615.0,True,0,Android,6.0,92.5,0.02020043344783643
CR000032,CL00033,2025-08-11,Crédito consumo digital,4000000,12,0.0383,422000,App,900,0.1275,Automática,Activo,0,36,M,4,Bachiller,Independiente,3310000.0,675.0,False,1,Android,1.0,159.0,0.010495654988306647
CR000033,CL00034,2026-02-01,Microcrédito,700000,6,0.0255,127000,App,811,0.083,Automática,Activo,0,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,476.0,True,1,Android,3.0,164.66666666666666,0.008519735491306525
CR000034,CL00034,2025-08-01,Crédito libre inversión,1200000,12,0.0332,123000,Web,730,0.0804,Automática,Mora moderada,1,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,476.0,True,1,Android,3.0,164.66666666666666,0.9671073334481016
CR000035,CL00035,2025-03-21,Crédito consumo digital,4050000,6,0.0373,766000,Web,900,0.152,Automática,Finalizado,0,44,M,3,Posgrado,Microempresario,5040000.0,684.0,False,2,Android,1.0,188.0,0.0074594815437891695
CR000036,CL00036,2025-09-29,Crédito consumo digital,950000,12,0.0211,90000,Aliado,572,0.0448,Manual,Activo,0,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,588.0,True,1,Android,24.0,175.08333333333334,0.007605341642740804
CR000037,CL00036,2025-11-03,Crédito libre inversión,6550000,6,0.0248,1188000,App,462,0.591,Excepción,Activo,0,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,588.0,True,1,Android,24.0,175.08333333333334,0.04262471009281181
CR000038,CL00037,2025-10-10,Crédito libre inversión,6450000,6,0.0267,1178000,Web,889,0.5746,Excepción,Mora moderada,1,38,M,1,Posgrado,Empleado,2050000.0,601.0,False,1,Android,1.0,203.0,0.9365705002226742
CR000039,CL00038,2025-09-19,Crédito consumo digital,1900000,12,0.0338,195000,App,679,0.0759,Automática,Mora severa,1,19,F,3,Bachiller,Desempleado,2570000.0,418.0,False,2,Android,1.0,165.0,0.9854487926712157
CR000040,CL00039,2025-11-29,Crédito consumo digital,2650000,6,0.0263,483000,App,854,0.1543,Automática,Activo,0,23,M,4,Universitario,Empleado,3130000.0,670.0,True,2,Android,8.0,177.5,0.005360991054731176
CR000041,CL00039,2024-06-27,Crédito libre inversión,4450000,12,0.0183,417000,App,864,0.1332,Automática,Mora moderada,1,23,M,4,Universitario,Empleado,3130000.0,670.0,True,2,Android,8.0,177.5,0.9175239965617435
CR000042,CL00040,2025-09-01,Microcrédito,2350000,3,0.0408,848000,App,900,0.2024,Automática,Mora severa,1,38,M,3,Bachiller,Microempresario,4190000.0,610.0,False,2,iOS,3.0,186.33333333333331,0.9242015244079905
CR000043,CL00040,2026-01-09,Avance de nómina,1800000,6,0.0187,320000,Web,840,0.0764,Automática,Activo,0,38,M,3,Bachiller,Microempresario,4190000.0,610.0,False,2,iOS,3.0,186.33333333333331,0.0102001386469597
CR000044,CL00041,2023-10-04,Microcrédito,3800000,3,0.0396,1368000,App,827,0.45,Manual,Finalizado,0,43,F,4,Técnico/Tecnólogo,Independiente,3040000.0,699.0,False,1,Android,3.0,60.0,0.0041806594107100335
CR000045,CL00042,2026-03-26,Microcrédito,700000,18,0.036,53000,Aliado,750,0.0296,Automática,Activo,0,38,M,4,Bachiller,Independiente,1790000.0,587.0,False,4,Android,7.0,243.57142857142856,0.0033956484755719
CR000046,CL00043,2025-03-30,Crédito consumo digital,1550000,9,0.0294,199000,Call center,900,0.0812,Automática,Finalizado,0,35,M,5,Técnico/Tecnólogo,Empleado,2450000.0,690.0,False,2,Android,2.0,188.0,0.01205784722457825
CR000047,CL00044,2026-01-05,Crédito consumo digital,1150000,12,0.0308,116000,Aliado,900,0.0391,Automática,Activo,0,33,F,4,Bachiller,Microempresario,2970000.0,704.0,False,0,Android,15.0,126.93333333333334,0.009423273130715393
CR000048,CL00044,2025-09-09,Avance de nómina,900000,3,0.0192,312000,Aliado,900,0.1051,Automática,Finalizado,0,33,F,4,Bachiller,Microempresario,2970000.0,704.0,False,0,Android,15.0,126.93333333333334,0.012498087222529495
CR000049,CL00045,2024-11-13,Crédito consumo digital,700000,3,0.0224,244000,App,787,0.0949,Automática,Finalizado,0,21,No informa,2,Universitario,Microempresario,2570000.0,497.0,True,1,Android,,,0.009529406770909233
CR000050,CL00046,2025-07-23,Crédito consumo digital,1850000,12,0.0298,186000,App,811,0.0724,Automática,Activo,0,29,F,5,Técnico/Tecnólogo,Estudiante,2570000.0,613.0,False,4,iOS,7.0,255.57142857142856,0.0031525752220063334
CR000051,CL00047,2025-10-26,Crédito libre inversión,3250000,18,0.0247,226000,Call center,786,0.1378,Automática,Activo,0,31,F,2,Sin información,Comerciante,1640000.0,569.0,False,0,Android,3.0,215.33333333333331,0.05309003983437104
CR000052,CL00048,2026-01-30,Crédito consumo digital,1650000,6,0.027,302000,Call center,800,0.1175,Automática,Activo,0,47,M,2,Universitario,Independiente,2570000.0,554.0,False,1,iOS,13.0,171.07692307692307,0.006796532971091866
CR000053,CL00050,2025-05-11,Crédito libre inversión,3750000,12,0.0186,351000,App,803,0.1526,Automática,Mora moderada,1,19,M,3,Bachiller,Pensionado,2300000.0,523.0,False,1,Android,6.0,174.83333333333334,0.9651728148692498
CR000054,CL00051,2025-12-12,Crédito libre inversión,7550000,3,0.0335,2687000,App,726,0.9842,Excepción,Mora moderada,1,39,M,3,Técnico/Tecnólogo,Comerciante,2730000.0,530.0,False,0,Android,7.0,138.42857142857142,0.9783168831682048
CR000055,CL00052,2025-06-28,Crédito consumo digital,3250000,6,0.0325,605000,Aliado,782,0.1576,Automática,Mora moderada,1,32,F,4,Técnico/Tecnólogo,Empleado,3840000.0,606.0,False,3,iOS,7.0,128.28571428571428,0.8633936581313043
CR000056,CL00054,2025-01-05,Crédito consumo digital,1400000,12,0.0252,137000,Web,809,0.0628,Automática,Mora moderada,1,42,M,1,Posgrado,Microempresario,2180000.0,550.0,False,2,Android,3.0,185.0,0.9166063575158351
CR000057,CL00056,2025-10-23,Crédito consumo digital,2050000,6,0.0217,368000,App,900,0.1553,Automática,Finalizado,0,45,M,2,Bachiller,Empleado,2370000.0,609.0,False,0,Android,9.0,103.33333333333331,0.017005876890024845
CR000058,CL00056,2026-03-30,Avance de nómina,1050000,6,0.0314,195000,App,874,0.0823,Automática,Activo,0,45,M,2,Bachiller,Empleado,2370000.0,609.0,False,0,Android,9.0,103.33333333333331,0.017559389411726148
CR000059,CL00057,2024-11-12,Microcrédito,1100000,9,0.0389,147000,Web,775,0.0739,Automática,Mora moderada,1,28,F,4,Técnico/Tecnólogo,Independiente,1990000.0,512.0,True,1,Android,2.0,176.0,0.8973823952590743
CR000060,CL00058,2024-05-02,Microcrédito,3300000,6,0.0263,602000,App,849,0.2427,Automática,Finalizado,0,33,F,6,Técnico/Tecnólogo,Independiente,2480000.0,667.0,False,0,Android,1.0,272.0,0.0046521589338577194
CR000061,CL00059,2026-01-05,Crédito consumo digital,1750000,9,0.0346,230000,Call center,860,0.105,Automática,Activo,0,39,M,3,Bachiller,Independiente,2190000.0,639.0,False,1,iOS,19.0,231.52631578947367,0.005833277753363917
CR000062,CL00059,2025-06-27,Avance de nómina,1400000,12,0.0273,138000,App,815,0.063,Automática,Activo,0,39,M,3,Bachiller,Independiente,2190000.0,639.0,False,1,iOS,19.0,231.52631578947367,0.0062332920537674814
CR000063,CL00059,2026-03-27,Crédito libre inversión,1600000,12,0.0306,161000,App,886,0.0735,Automática,Activo,0,39,M,3,Bachiller,Independiente,2190000.0,639.0,False,1,iOS,19.0,231.52631578947367,0.004006753660125169
CR000064,CL00060,2026-02-06,Crédito consumo digital,3350000,9,0.0228,416000,App,900,0.1115,Automática,Activo,0,46,F,3,Técnico/Tecnólogo,Independiente,3730000.0,648.0,False,0,Android,10.0,169.4,0.005140225956628253
CR000065,CL00061,2024-03-09,Crédito consumo digital,1150000,6,0.0321,214000,App,848,0.096,Automática,Finalizado,0,31,M,2,Técnico/Tecnólogo,Empleado,2230000.0,607.0,False,0,Web,2.0,189.5,0.01168864106514476
CR000066,CL00062,2025-12-17,Avance de nómina,700000,9,0.0229,87000,App,870,0.0361,Automática,Activo,0,34,F,4,Posgrado,Independiente,2410000.0,625.0,True,0,iOS,4.0,148.75,0.007766338231131448
CR000067,CL00063,2023-08-08,Crédito consumo digital,2150000,12,0.0305,217000,App,748,0.0702,Automática,Mora moderada,1,25,F,2,Sin información,Empleado,3090000.0,487.0,False,3,iOS,2.0,146.5,0.9516523884836505
CR000068,CL00064,2025-08-03,Crédito libre inversión,7800000,12,0.0309,788000,App,808,0.2765,Automática,Mora severa,1,24,M,4,Universitario,Independiente,2850000.0,528.0,False,2,Android,5.0,125.4,0.9807709019140272
CR000069,CL00065,2026-03-20,Microcrédito,5200000,6,0.033,969000,App,900,0.1541,Automática,Activo,0,44,M,2,Bachiller,Empleado,6290000.0,732.0,True,3,Web,23.0,187.69565217391303,0.00221632370678176
CR000070,CL00065,2025-04-08,Crédito consumo digital,5500000,3,0.0355,1965000,App,900,0.3124,Automática,Mora severa,1,44,M,2,Bachiller,Empleado,6290000.0,732.0,True,3,Web,23.0,187.69565217391303,0.8681890929513956
CR000071,CL00067,2025-07-07,Crédito consumo digital,2800000,9,0.024,350000,Aliado,900,0.0882,Automática,Finalizado,0,35,F,2,Técnico/Tecnólogo,Microempresario,3970000.0,728.0,False,0,Android,6.0,218.33333333333331,0.008584619028406017
CR000072,CL00067,2025-01-16,Crédito consumo digital,2600000,6,0.0301,480000,Aliado,900,0.1209,Automática,Finalizado,0,35,F,2,Técnico/Tecnólogo,Microempresario,3970000.0,728.0,False,0,Android,6.0,218.33333333333331,0.007399345806435045
CR000073,CL00068,2024-10-03,Crédito consumo digital,3200000,12,0.0333,328000,Call center,900,0.0682,Automática,Finalizado,0,46,M,5,Universitario,Empleado,4810000.0,739.0,True,2,Android,1.0,71.0,0.01992669689596481
CR000074,CL00069,2024-05-11,Crédito libre inversión,2900000,6,0.0266,529000,Aliado,754,0.258,Automática,Finalizado,0,40,M,2,Universitario,Estudiante,2050000.0,500.0,False,1,Android,6.0,121.83333333333331,0.01788226539071089
CR000075,CL00072,2025-08-31,Crédito libre inversión,3350000,9,0.0259,422000,App,889,0.1796,Automática,Activo,0,51,F,2,Técnico/Tecnólogo,Microempresario,2350000.0,657.0,False,2,iOS,,,0.005741583823087692
CR000076,CL00073,2026-01-07,Avance de nómina,800000,12,0.0265,79000,Web,844,1.2,Automática,Mora moderada,1,36,M,1,Técnico/Tecnólogo,Independiente,2040000.0,543.0,True,1,iOS,8.0,141.875,0.9845102541106777
CR000077,CL00074,2025-06-24,Crédito consumo digital,4300000,9,0.0383,574000,Call center,900,0.0939,Automática,Finalizado,0,52,F,3,Bachiller,Empleado,6110000.0,758.0,False,0,Android,,,0.01362835958995296
CR000078,CL00075,2026-01-08,Crédito consumo digital,1400000,6,0.0293,258000,Call center,880,0.0733,Automática,Activo,0,19,F,3,Universitario,Empleado,3520000.0,588.0,True,0,Android,4.0,161.0,0.011398375414878923
CR000079,CL00076,2024-10-22,Microcrédito,900000,12,0.0306,91000,App,810,0.0384,Automática,Mora moderada,1,44,F,4,Universitario,Independiente,2370000.0,592.0,True,2,Android,3.0,125.33333333333331,0.8591165057674656
CR000080,CL00077,2025-05-15,Crédito consumo digital,650000,6,0.0277,119000,App,725,0.0613,Automática,Mora severa,1,37,F,4,Bachiller,Microempresario,1940000.0,580.0,True,3,Android,,,0.9684931288847308
CR000081,CL00077,2025-08-25,Avance de nómina,1000000,12,0.0296,100000,App,870,0.0515,Automática,Activo,0,37,F,4,Bachiller,Microempresario,1940000.0,580.0,True,3,Android,,,0.009163988777606992
CR000082,CL00078,2025-11-06,Crédito consumo digital,1850000,6,0.0227,333000,Aliado,900,0.1041,Automática,Activo,0,33,F,2,Técnico/Tecnólogo,Empleado,3200000.0,622.0,True,3,Android,3.0,111.33333333333331,0.006210277797449788
CR000083,CL00079,2025-08-17,Microcrédito,600000,6,0.0343,112000,App,832,0.0457,Automática,Finalizado,0,37,M,2,Técnico/Tecnólogo,Pensionado,2450000.0,501.0,True,1,Android,7.0,160.71428571428572,0.0075282520868345994
CR000084,CL00080,2026-03-12,Crédito libre inversión,7700000,9,0.0264,973000,Call center,798,0.4746,Manual,Activo,0,19,M,3,Universitario,Empleado,2050000.0,589.0,False,0,Android,7.0,224.14285714285717,0.010970652578282598
CR000085,CL00081,2025-12-29,Crédito consumo digital,1450000,12,0.0388,153000,App,608,0.0827,Manual,Activo,0,34,F,3,Universitario,Independiente,1850000.0,588.0,False,0,iOS,5.0,168.6,0.005773803885599414
CR000086,CL00082,2023-06-24,Crédito libre inversión,5550000,9,0.0304,714000,App,846,0.2412,Automática,Mora severa,1,40,M,5,Sin información,Empleado,2960000.0,594.0,False,2,Android,,,0.9764098037823622
CR000087,CL00083,2025-12-01,Crédito libre inversión,2350000,6,0.0254,427000,Aliado,759,0.1787,Automática,Activo,0,51,M,4,Bachiller,Empleado,2390000.0,522.0,True,0,iOS,3.0,89.66666666666667,0.011926920756846655
CR000088,CL00086,2025-06-13,Crédito libre inversión,4050000,3,0.0306,1433000,Call center,675,0.549,Manual,Finalizado,0,31,M,2,Bachiller,Empleado,2610000.0,425.0,False,2,iOS,,,0.013226047781499335
CR000089,CL00088,2025-07-04,Crédito consumo digital,1100000,6,0.0284,202000,App,863,0.1074,Automática,Finalizado,0,39,F,1,Universitario,Independiente,1880000.0,507.0,False,0,Android,2.0,69.0,0.01059415584814344
CR000090,CL00089,2025-12-13,Crédito consumo digital,1600000,3,0.0282,564000,App,617,0.5127,Manual,Finalizado,0,31,M,3,Técnico/Tecnólogo,Desempleado,1100000.0,440.0,True,1,iOS,12.0,246.58333333333331,0.005693768378449065
CR000091,CL00089,2026-03-03,Crédito libre inversión,1050000,18,0.0204,70000,Web,628,0.0636,Automática,Activo,0,31,M,3,Técnico/Tecnólogo,Desempleado,1100000.0,440.0,True,1,iOS,12.0,246.58333333333331,0.010334991924607871
CR000092,CL00091,2026-02-07,Crédito consumo digital,1000000,3,0.0202,347000,Aliado,864,0.1896,Automática,Activo,0,37,M,3,Bachiller,Conductor/Repartidor,1830000.0,497.0,True,1,Android,10.0,121.5,0.010391986668071299
CR000093,CL00092,2024-08-16,Crédito consumo digital,6950000,6,0.0213,1246000,Aliado,900,0.2351,Automática,Finalizado,0,46,M,3,Técnico/Tecnólogo,Microempresario,5300000.0,676.0,True,0,Android,2.0,115.5,0.012537536387336807
CR000094,CL00093,2023-10-03,Crédito libre inversión,5400000,9,0.0225,669000,App,900,0.1436,Automática,Finalizado,0,29,M,4,Técnico/Tecnólogo,Comerciante,4660000.0,693.0,True,4,Android,29.0,185.17241379310343,0.0064900406945489165
CR000095,CL00093,2024-08-04,Microcrédito,4150000,12,0.0325,423000,App,900,0.0908,Automática,Finalizado,0,29,M,4,Técnico/Tecnólogo,Comerciante,4660000.0,693.0,True,4,Android,29.0,185.17241379310343,0.004801716955674748
CR000096,CL00093,2025-12-15,Crédito consumo digital,2450000,12,0.023,236000,Aliado,900,0.0506,Automática,Activo,0,29,M,4,Técnico/Tecnólogo,Comerciante,4660000.0,693.0,True,4,Android,29.0,185.17241379310343,0.004221038300998763
CR000097,CL00094,2025-07-21,Crédito consumo digital,450000,3,0.0247,157000,Aliado,760,0.1256,Automática,Finalizado,0,33,M,5,Universitario,Desempleado,1250000.0,602.0,False,1,Android,4.0,144.75,0.01097312651392995
CR000098,CL00095,2025-10-31,Crédito libre inversión,3300000,24,0.0327,200000,App,877,0.0778,Automática,Mora moderada,1,32,F,4,Universitario,Comerciante,2570000.0,697.0,True,1,Android,20.0,136.85,0.9531743979455092
CR000099,CL00095,2023-09-10,Crédito libre inversión,2950000,18,0.0181,194000,App,859,0.0755,Automática,Finalizado,0,32,F,4,Universitario,Comerciante,2570000.0,697.0,True,1,Android,20.0,136.85,0.016145981730235844
CR000100,CL00096,2026-01-27,Crédito consumo digital,2950000,3,0.0289,1041000,Web,891,0.2361,Automática,Finalizado,0,21,F,4,Sin información,Empleado,4410000.0,630.0,False,0,Android,13.0,152.53846153846155,0.009398504145451176
CR000101,CL00096,2024-12-09,Crédito libre inversión,4850000,6,0.0235,876000,Aliado,900,0.1986,Automática,Finalizado,0,21,F,4,Sin información,Empleado,4410000.0,630.0,False,0,Android,13.0,152.53846153846155,0.010616525947458107
CR000102,CL00097,2024-10-01,Microcrédito,3350000,9,0.0413,453000,Call center,724,0.2157,Automática,Mora severa,1,39,M,1,Universitario,Conductor/Repartidor,2100000.0,505.0,False,0,Android,2.0,400.0,0.9263424910917937
CR000103,CL00099,2026-01-16,Avance de nómina,1000000,9,0.0211,123000,App,886,0.0355,Automática,Activo,0,36,M,3,Técnico/Tecnólogo,Conductor/Repartidor,3460000.0,612.0,False,0,Android,10.0,120.3,0.016806672945194407
CR000104,CL00100,2024-03-01,Avance de nómina,1000000,9,0.0219,124000,App,900,0.0286,Automática,Mora severa,1,34,M,4,Universitario,Microempresario,4340000.0,665.0,False,2,Android,4.0,189.25,0.9611355088343511
CR000105,CL00101,2025-09-03,Avance de nómina,1950000,9,0.0267,247000,Web,858,0.0911,Automática,Activo,0,22,M,4,Sin información,Empleado,2710000.0,576.0,True,0,iOS,12.0,160.0,0.01467413019714334
CR000106,CL00102,2025-07-27,Avance de nómina,550000,12,0.0262,54000,App,707,0.0482,Automática,Activo,0,32,F,3,Bachiller,Estudiante,1120000.0,451.0,True,0,Android,5.0,134.0,0.02964356065291657
CR000107,CL00103,2025-04-11,Microcrédito,1850000,12,0.0273,183000,Aliado,853,0.0614,Automática,Mora moderada,1,33,M,4,Técnico/Tecnólogo,Independiente,2980000.0,646.0,False,0,Android,1.0,124.0,0.926213516030406
CR000108,CL00104,2025-10-12,Crédito consumo digital,1000000,3,0.0254,350000,Aliado,852,0.1311,Automática,Finalizado,0,28,M,2,Sin información,Empleado,2670000.0,585.0,False,0,Android,11.0,182.45454545454547,0.012391909139634385
CR000109,CL00104,2026-03-21,Crédito consumo digital,1500000,6,0.0308,278000,Aliado,885,0.1041,Automática,Activo,0,28,M,2,Sin información,Empleado,2670000.0,585.0,False,0,Android,11.0,182.45454545454547,0.009695380359442856
CR000110,CL00105,2025-08-24,Microcrédito,4750000,24,0.0391,309000,App,883,0.1202,Automática,Activo,0,34,F,3,Técnico/Tecnólogo,Microempresario,2570000.0,674.0,False,2,iOS,,,0.007706259518384192
CR000111,CL00106,2025-09-25,Microcrédito,3150000,12,0.0385,333000,Web,900,0.0626,Automática,Activo,0,40,M,4,Universitario,Empleado,5320000.0,756.0,True,1,Android,,,0.004489836239267174
CR000112,CL00107,2025-09-10,Microcrédito,1800000,12,0.0272,178000,App,885,0.0693,Automática,Activo,0,55,F,3,Universitario,Comerciante,2570000.0,592.0,True,1,Android,4.0,100.0,0.007810269343582562
CR000113,CL00108,2026-01-06,Crédito libre inversión,2400000,24,0.0217,129000,Web,831,0.0502,Automática,Activo,0,38,M,2,Técnico/Tecnólogo,Comerciante,2570000.0,596.0,False,0,iOS,10.0,104.6,0.03713856032803577
CR000114,CL00108,2026-02-08,Crédito consumo digital,900000,12,0.035,93000,Web,876,0.0362,Automática,Activo,0,38,M,2,Técnico/Tecnólogo,Comerciante,2570000.0,596.0,False,0,iOS,10.0,104.6,0.019584792946272255
CR000115,CL00108,2025-07-13,Microcrédito,3500000,12,0.0371,367000,App,853,0.1428,Automática,Activo,0,38,M,2,Técnico/Tecnólogo,Comerciante,2570000.0,596.0,False,0,iOS,10.0,104.6,0.016770391917168222
CR000116,CL00109,2025-01-07,Crédito consumo digital,750000,9,0.0343,98000,App,838,0.0402,Automática,Finalizado,0,39,M,3,Técnico/Tecnólogo,Pensionado,2440000.0,600.0,False,3,Android,5.0,114.2,0.01000458575799157
