cliente_id,fecha_registro,departamento,ciudad,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,canal_adquisicion,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,email_hash
CL00024,2025-03-08,Bogotá D.C.,Bogotá,22,M,4,Bachiller,Pensionado,2960000.0,Campaña digital,621.0,False,2,Android,hash_526674
CL00025,2023-11-17,Risaralda,Pereira,31,M,2,Posgrado,Independiente,1770000.0,App orgánico,595.0,False,1,iOS,hash_163610
CL00026,2025-10-21,Santander,Bucaramanga,37,F,3,Técnico/Tecnólogo,Independiente,3070000.0,Aliado comercial,618.0,False,0,Android,hash_796454
CL00027,2023-05-23,Bogotá D.C.,Bogotá,24,F,5,Técnico/Tecnólogo,Independiente,3560000.0,Call center,616.0,True,1,iOS,hash_737787
CL00028,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819
CL00029,2024-05-09,Norte de Santander,Cúcuta,30,F,2,Técnico/Tecnólogo,Microempresario,3800000.0,Call center,645.0,False,0,Android,hash_737938
CL00030,2025-11-06,Cundinamarca,Soacha,33,M,3,Universitario,Empleado,3480000.0,Referido,636.0,False,0,Android,hash_332076
CL00031,2024-06-03,Bolívar,Cartagena,30,M,3,Universitario,Independiente,4440000.0,Campaña digital,615.0,True,0,Android,hash_403602
CL00032,2023-03-23,Bogotá D.C.,Bogotá,55,F,1,Bachiller,Empleado,2350000.0,Referido,506.0,True,0,Web,hash_484583
CL00033,2025-07-30,Caldas,Manizales,36,M,4,Bachiller,Independiente,3310000.0,Referido,675.0,False,1,Android,hash_296846
CL00034,2026-01-04,Bogotá D.C.,Bogotá,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,Aliado comercial,476.0,True,1,Android,hash_347536
CL00035,2024-12-01,Atlántico,Barranquilla,44,M,3,Posgrado,Microempresario,5040000.0,Campaña digital,684.0,False,2,Android,hash_732405
CL00036,2025-02-16,Cundinamarca,Soacha,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,Campaña digital,588.0,True,1,Android,hash_647473
CL00037,2025-07-20,Norte de Santander,Cúcuta,38,M,1,Posgrado,Empleado,2050000.0,Campaña digital,601.0,False,1,Android,hash_976533
CL00038,2025-06-29,Antioquia,Medellín,19,F,3,Bachiller,Desempleado,2570000.0,Referido,418.0,False,2,Android,hash_209162
CL00039,2024-03-21,Tolima,Ibagué,23,M,4,Universitario,Empleado,3130000.0,Campaña digital,670.0,True,2,Android,hash_431119
CL00040,2025-12-08,Bolívar,Cartagena,38,M,3,Bachiller,Microempresario,4190000.0,App orgánico,610.0,False,2,iOS,hash_831862
CL00041,2023-06-28,Atlántico,Barranquilla,43,F,4,Técnico/Tecnólogo,Independiente,3040000.0,Campaña digital,699.0,False,1,Android,hash_795532
CL00042,2024-06-07,Bogotá D.C.,Bogotá,38,M,4,Bachiller,Independiente,1790000.0,Referido,587.0,False,4,Android,hash_212701
CL00043,2024-03-07,Santander,Bucaramanga,35,M,5,Técnico/Tecnólogo,Empleado,2450000.0,App orgánico,690.0,False,2,Android,hash_869460
CL00044,2024-12-25,Cundinamarca,Soacha,33,F,4,Bachiller,Microempresario,2970000.0,App orgánico,704.0,False,0,Android,hash_791319
CL00045,2024-10-23,Cundinamarca,Soacha,21,No informa,2,Universitario,Microempresario,2570000.0,Aliado comercial,497.0,True,1,Android,hash_921935
CL00046,2025-01-21,Cundinamarca,Soacha,29,F,5,Técnico/Tecnólogo,Estudiante,2570000.0,Referido,613.0,False,4,iOS,hash_348724
CL00047,2025-08-08,Risaralda,Pereira,31,F,2,Sin información,Comerciante,1640000.0,Campaña digital,569.0,False,0,Android,hash_799746
CL00048,2025-01-03,Tolima,Ibagué,47,M,2,Universitario,Independiente,2570000.0,App orgánico,554.0,False,1,iOS,hash_892173
CL00049,2025-08-04,Antioquia,Medellín,39,M,3,Universitario,Comerciante,1200000.0,App orgánico,474.0,False,2,Android,hash_425329
CL00050,2023-09-17,Bogotá D.C.,Bogotá,19,M,3,Bachiller,Pensionado,2300000.0,App orgánico,523.0,False,1,Android,hash_362091
CL00051,2024-08-07,Bogotá D.C.,Bogotá,39,M,3,Técnico/Tecnólogo,Comerciante,2730000.0,Campaña digital,530.0,False,0,Android,hash_774533
CL00052,2024-04-01,Santander,Bucaramanga,32,F,4,Técnico/Tecnólogo,Empleado,3840000.0,App orgánico,606.0,False,3,iOS,hash_571869
CL00053,2025-10-25,Atlántico,Barranquilla,29,M,5,Bachiller,Independiente,2280000.0,App orgánico,685.0,True,2,Android,hash_508376
CL00054,2023-06-21,Valle del Cauca,Cali,42,M,1,Posgrado,Microempresario,2180000.0,Referido,550.0,False,2,Android,hash_741593
CL00055,2025-01-26,Bogotá D.C.,Bogotá,46,F,2,Universitario,Independiente,1200000.0,App orgánico,518.0,True,2,Android,hash_877635
CL00056,2025-08-08,Santander,Bucaramanga,45,M,2,Bachiller,Empleado,2370000.0,App orgánico,609.0,False,0,Android,hash_503551
CL00057,2023-01-28,Bogotá D.C.,Bogotá,28,F,4,Técnico/Tecnólogo,Independiente,1990000.0,Aliado comercial,512.0,True,1,Android,hash_755244
CL00058,2023-10-13,Antioquia,Medellín,33,F,6,Técnico/Tecnólogo,Independiente,2480000.0,Aliado comercial,667.0,False,0,Android,hash_805356
CL00059,2025-06-08,Bolívar,Cartagena,39,M,3,Bachiller,Independiente,2190000.0,Campaña digital,639.0,False,1,iOS,hash_223728
CL00060,2025-03-17,Cundinamarca,Soacha,46,F,3,Técnico/Tecnólogo,Independiente,3730000.0,Referido,648.0,False,0,Android,hash_181972
CL00061,2023-04-06,Bogotá D.C.,Bogotá,31,M,2,Técnico/Tecnólogo,Empleado,2230000.0,Referido,607.0,False,0,Web,hash_900511
CL00062,2025-04-09,Bogotá D.C.,Bogotá,34,F,4,Posgrado,Independiente,2410000.0,App orgánico,625.0,True,0,iOS,hash_591121
CL00063,2023-02-04,Bogotá D.C.,Bogotá,25,F,2,Sin información,Empleado,3090000.0,Call center,487.0,False,3,iOS,hash_547244
CL00064,2024-01-30,Valle del Cauca,Cali,24,M,4,Universitario,Independiente,2850000.0,Call center,528.0,False,2,Android,hash_457546
CL00065,2024-02-07,Bogotá D.C.,Bogotá,44,M,2,Bachiller,Empleado,6290000.0,Campaña digital,732.0,True,3,Web,hash_359438
CL00066,2023-06-13,Bogotá D.C.,Bogotá,50,F,3,Sin información,Empleado,2580000.0,Campaña digital,643.0,False,0,Android,hash_553222
CL00067,2024-12-27,Bogotá D.C.,Bogotá,35,F,2,Técnico/Tecnólogo,Microempresario,3970000.0,Campaña digital,728.0,False,0,Android,hash_637970
CL00068,2024-03-24,Antioquia,Medellín,46,M,5,Universitario,Empleado,4810000.0,App orgánico,739.0,True,2,Android,hash_328931
CL00069,2023-05-20,Antioquia,Medellín,40,M,2,Universitario,Estudiante,2050000.0,Call center,500.0,False,1,Android,hash_835226
CL00070,2024-10-06,Cundinamarca,Soacha,30,F,6,Sin información,Empleado,5020000.0,App orgánico,726.0,True,0,Android,hash_450679
CL00071,2025-08-22,Antioquia,Medellín,40,M,5,Universitario,Independiente,2060000.0,App orgánico,662.0,True,0,Android,hash_377785
CL00072,2025-07-22,Bolívar,Cartagena,51,F,2,Técnico/Tecnólogo,Microempresario,2350000.0,Campaña digital,657.0,False,2,iOS,hash_177525
CL00073,2023-08-27,Bogotá D.C.,Bogotá,36,M,1,Técnico/Tecnólogo,Independiente,2040000.0,App orgánico,543.0,True,1,iOS,hash_992015
CL00074,2025-09-05,Bogotá D.C.,Bogotá,52,F,3,Bachiller,Empleado,6110000.0,Aliado comercial,758.0,False,0,Android,hash_591830
CL00075,2025-01-26,Antioquia,Medellín,19,F,3,Universitario,Empleado,3520000.0,Campaña digital,588.0,True,0,Android,hash_457820
CL00076,2024-07-27,Bogotá D.C.,Bogotá,44,F,4,Universitario,Independiente,2370000.0,Referido,592.0,True,2,Android,hash_279689
CL00077,2026-01-13,Antioquia,Medellín,37,F,4,Bachiller,Microempresario,1940000.0,Campaña digital,580.0,True,3,Android,hash_317516
CL00078,2025-04-27,Cundinamarca,Soacha,33,F,2,Técnico/Tecnólogo,Empleado,3200000.0,Call center,622.0,True,3,Android,hash_435064
CL00079,2023-12-29,Atlántico,Barranquilla,37,M,2,Técnico/Tecnólogo,Pensionado,2450000.0,Campaña digital,501.0,True,1,Android,hash_112306
CL00080,2025-09-21,Risaralda,Pereira,19,M,3,Universitario,Empleado,2050000.0,Campaña digital,589.0,False,0,Android,hash_793023
CL00081,2023-11-05,Bolívar,Cartagena,34,F,3,Universitario,Independiente,1850000.0,App orgánico,588.0,False,0,iOS,hash_768958
CL00082,2023-06-04,Bogotá D.C.,Bogotá,40,M,5,Sin información,Empleado,2960000.0,Aliado comercial,594.0,False,2,Android,hash_961641
CL00083,2025-08-01,Antioquia,Medellín,51,M,4,Bachiller,Empleado,2390000.0,Call center,522.0,True,0,iOS,hash_927679
CL00084,2023-03-28,Antioquia,Medellín,31,F,3,Bachiller,Empleado,3750000.0,App orgánico,614.0,True,4,Web,hash_683107
CL00085,2025-08-24,Bogotá D.C.,Bogotá,17,M,4,Bachiller,Empleado,3300000.0,Call center,678.0,True,2,Android,hash_345984
CL00086,2025-12-22,Antioquia,Medellín,31,M,2,Bachiller,Empleado,2610000.0,Campaña digital,425.0,False,2,iOS,hash_261081
CL00087,2025-10-14,Antioquia,Medellín,45,F,1,Posgrado,Microempresario,2220000.0,Call center,515.0,False,0,Android,hash_663457
CL00088,2024-09-25,Tolima,Ibagué,39,F,1,Universitario,Independiente,1880000.0,App orgánico,507.0,False,0,Android,hash_666605
CL00089,2025-11-10,Antioquia,Medellín,31,M,3,Técnico/Tecnólogo,Desempleado,1100000.0,Campaña digital,440.0,True,1,iOS,hash_539358
CL00090,2025-11-06,Bogotá D.C.,Bogotá,41,F,4,Bachiller,Empleado,1790000.0,Referido,567.0,False,3,iOS,hash_841570
CL00091,2025-08-09,Valle del Cauca,Cali,37,M,3,Bachiller,Conductor/Repartidor,1830000.0,App orgánico,497.0,True,1,Android,hash_141743
CL00092,2023-10-14,Bogotá D.C.,Bogotá,46,M,3,Técnico/Tecnólogo,Microempresario,5300000.0,Referido,676.0,True,0,Android,hash_769221
CL00093,2023-07-20,Bogotá D.C.,Bogotá,29,M,4,Técnico/Tecnólogo,Comerciante,4660000.0,App orgánico,693.0,True,4,Android,hash_925992
CL00094,2024-11-06,Bogotá D.C.,Bogotá,33,M,5,Universitario,Desempleado,1250000.0,Call center,602.0,False,1,Android,hash_614241
CL00095,2023-08-18,Antioquia,Medellín,32,F,4,Universitario,Comerciante,2570000.0,Campaña digital,697.0,True,1,Android,hash_893567
CL00096,2024-08-08,Antioquia,Medellín,21,F,4,Sin información,Empleado,4410000.0,Campaña digital,630.0,False,0,Android,hash_115216
CL00097,2023-09-29,Meta,Villavicencio,39,M,1,Universitario,Conductor/Repartidor,2100000.0,App orgánico,505.0,False,0,Android,hash_421898
CL00098,2023-01-20,Bogotá D.C.,Bogotá,39,F,2,Bachiller,Desempleado,390000.0,App orgánico,562.0,False,0,Android,hash_653280
CL00099,2024-08-12,Santander,Bucaramanga,36,M,3,Técnico/Tecnólogo,Conductor/Repartidor,3460000.0,Campaña digital,612.0,False,0,Android,hash_451889
CL00100,2023-03-12,Bogotá D.C.,Bogotá,34,M,4,Universitario,Microempresario,4340000.0,Aliado comercial,665.0,False,2,Android,hash_631985
CL00101,2024-02-11,Atlántico,Barranquilla,22,M,4,Sin información,Empleado,2710000.0,Aliado comercial,576.0,True,0,iOS,hash_881712
CL00102,2024-05-15,Cundinamarca,Soacha,32,F,3,Bachiller,Estudiante,1120000.0,Aliado comercial,451.0,True,0,Android,hash_203533
CL00103,2025-03-01,Bogotá D.C.,Bogotá,33,M,4,Técnico/Tecnólogo,Independiente,2980000.0,Campaña digital,646.0,False,0,Android,hash_387360
CL00104,2025-11-28,Antioquia,Medellín,28,M,2,Sin información,Empleado,2670000.0,Campaña digital,585.0,False,0,Android,hash_597488
CL00105,2025-07-17,Valle del Cauca,Cali,34,F,3,Técnico/Tecnólogo,Microempresario,2570000.0,Campaña digital,674.0,False,2,iOS,hash_972437
CL00106,2025-11-30,Caldas,Manizales,40,M,4,Universitario,Empleado,5320000.0,App orgánico,756.0,True,1,Android,hash_254226
CL00107,2024-11-08,Valle del Cauca,Cali,55,F,3,Universitario,Comerciante,2570000.0,Aliado comercial,592.0,True,1,Android,hash_592461
CL00108,2025-11-30,Atlántico,Barranquilla,38,M,2,Técnico/Tecnólogo,Comerciante,2570000.0,Campaña digital,596.0,False,0,iOS,hash_392717
CL00109,2024-05-30,Antioquia,Medellín,39,M,3,Técnico/Tecnólogo,Pensionado,2440000.0,Call center,600.0,False,3,Android,hash_572697
CL00110,2025-01-19,Antioquia,Medellín,35,F,2,Universitario,Pensionado,2020000.0,Referido,497.0,True,0,Android,hash_251899
CL00111,2023-06-19,Caldas,Manizales,19,F,2,Universitario,Independiente,1580000.0,Campaña digital,495.0,False,1,Android,hash_810872
CL00112,2024-12-26,Meta,Villavicencio,36,M,5,Bachiller,Comerciante,3620000.0,Aliado comercial,595.0,True,0,Android,hash_101539
CL00113,2024-10-21,Bolívar,Cartagena,37,F,1,Bachiller,Empleado,4830000.0,App orgánico,706.0,True,1,Android,hash_355821
CL00114,2023-03-03,Bogotá D.C.,Bogotá,61,M,4,Bachiller,Empleado,5200000.0,Call center,759.0,False,1,iOS,hash_566589
CL00115,2025-05-11,Antioquia,Medellín,34,M,5,Bachiller,Microempresario,2860000.0,Aliado comercial,586.0,False,0,iOS,hash_109927
CL00116,2023-07-31,Cundinamarca,Soacha,39,M,2,Bachiller,Independiente,2630000.0,App orgánico,588.0,False,1,Android,hash_892038
CL00117,2025-01-22,Antioquia,Medellín,36,F,3,Universitario,Empleado,2900000.0,Aliado comercial,655.0,False,1,iOS,hash_773217
CL00118,2025-08-30,Cundinamarca,Soacha,24,M,4,Bachiller,Comerciante,1940000.0,Referido,661.0,True,1,Android,hash_226613
CL00119,2023-08-15,Bogotá D.C.,Bogotá,47,F,4,Técnico/Tecnólogo,Comerciante,1930000.0,App orgánico,613.0,True,0,Android,hash_636069
CL00120,2025-09-21,Antioquia,Medellín,44,F,5,Técnico/Tecnólogo,Microempresario,2570000.0,App orgánico,733.0,True,1,Android,hash_545935
CL00121,2025-04-30,Bogotá D.C.,Bogot,44,M,1,Posgrado,Empleado,890000.0,App orgánico,596.0,True,0,Android,hash_814221
CL00122,2024-04-03,Valle del Cauca,Cali,27,M,2,Bachiller,Empleado,3810000.0,App orgánico,491.0,True,2,Android,hash_705151
CL00123,2024-05-25,Bogotá D.C.,Bogotá,50,M,2,Bachiller,Empleado,4620000.0,App orgánico,711.0,False,0,Android,hash_356812
CL00124,2025-12-17,Valle del Cauca,Cali,22,F,1,Universitario,Pensionado,2570000.0,Call center,408.0,False,1,Android,hash_877130
CL00125,2024-02-22,Caldas,Manizales,42,F,4,Técnico/Tecnólogo,Empleado,5500000.0,App orgánico,678.0,True,4,iOS,hash_853790
CL00126,2024-08-11,Antioquia,Medellín,58,M,2,Universitario,Independiente,2310000.0,Call center,603.0,True,2,Android,hash_355719
CL00127,2023-07-17,Bogotá D.C.,Bogotá,26,M,2,Sin información,Independiente,3180000.0,Referido,523.0,True,2,Android,hash_396794
CL00128,2023-02-12,Atlántico,Barranquilla,30,F,4,Universitario,Empleado,3530000.0,Referido,630.0,False,1,Android,hash_102159
CL00129,2025-11-24,Bogotá D.C.,Bogotá,37,F,2,Técnico/Tecnólogo,Independiente,1580000.0,App orgánico,571.0,False,0,Android,hash_392007
CL00130,2023-02-27,Bogotá D.C.,Bogotá,31,M,1,Bachiller,Comerciante,1530000.0,App orgánico,492.0,False,1,iOS,hash_191873
CL00131,2023-02-20,Atlántico,Barranquilla,20,F,3,Bachiller,Microempresario,2530000.0,App orgánico,522.0,True,0,Android,hash_533797
CL00132,2023-03-24,Atlántico,Barranquilla,37,M,4,Bachiller,Empleado,4370000.0,App orgánico,635.0,False,2,Android,hash_997214
CL00133,2023-01-24,Cundinamarca,Soacha,25,F,2,Técnico/Tecnólogo,Empleado,2000000.0,Campaña digital,476.0,False,3,Web,hash_902121
CL00134,2023-05-07,Bogotá D.C.,Bogotá,41,F,3,Bachiller,Empleado,2740000.0,App orgánico,605.0,False,1,Android,hash_326377
CL00135,2025-07-26,Tolima,Ibagué,27,M,3,Bachiller,Empleado,3720000.0,App orgánico,632.0,True,0,Android,hash_622904
CL00136,2024-06-06,Bolívar,Cartagena,51,F,2,Técnico/Tecnólogo,Comerciante,1250000.0,Campaña digital,557.0,False,0,Android,hash_644061
CL00137,2025-07-22,Risaralda,Pereira,28,F,2,Universitario,Estudiante,1210000.0,Campaña digital,491.0,True,2,iOS,hash_449173
CL00138,2025-08-01,Bogotá D.C.,Bogotá,33,M,2,Posgrado,Empleado,2960000.0,Aliado comercial,601.0,True,2,Web,hash_819132
CL00139,2023-08-11,Antioquia,Medellin ,44,F,3,Universitario,Empleado,2420000.0,Aliado comercial,565.0,True,4,Android,hash_977751
CL00140,2023-07-31,Bogotá D.C.,Bogotá,24,No informa,4,Universitario,Pensionado,3460000.0,App orgánico,577.0,False,2,Android,hash_171916
CL00141,2023-10-01,Bogotá D.C.,Bogotá,38,M,3,Universitario,Conductor/Repartidor,2030000.0,Referido,598.0,False,0,Android,hash_504911
CL00142,2024-12-02,Cundinamarca,Soacha,49,F,3,Técnico/Tecnólogo,Microempresario,5560000.0,App orgánico,781.0,False,0,Android,hash_594670
CL00143,2024-07-11,Meta,Villavicencio,20,M,3,Bachiller,Comerciante,2110000.0,Call center,499.0,False,4,iOS,hash_450988
CL00144,2024-09-06,Caldas,Manizales,38,F,2,Bachiller,Empleado,2980000.0,App orgánico,481.0,False,0,Android,hash_655393
CL00145,2023-12-26,Bogotá D.C.,Bogotá,39,M,3,Posgrado,Comerciante,1640000.0,Aliado comercial,465.0,False,0,Android,hash_807062
CL00146,2023-10-25,Bolívar,Cartagena,44,F,2,Bachiller,Independiente,2880000.0,Referido,589.0,True,0,iOS,hash_655839
CL00147,2025-02-28,Antioquia,Medellín,24,M,4,Técnico/Tecnólogo,Microempresario,2570000.0,App orgánico,700.0,False,1,Android,hash_372544
CL00148,2023-03-16,Bolívar,Cartagena,23,F,1,Universitario,Empleado,2180000.0,Campaña digital,502.0,False,3,iOS,hash_963413
CL00149,2024-06-18,Bogotá D.C.,Bogotá,41,F,3,Técnico/Tecnólogo,Microempresario,3620000.0,Call center,660.0,False,0,iOS,hash_617965
CL00150,2025-10-30,Cundinamarca,Soacha,39,F,5,Bachiller,Empleado,4200000.0,App orgánico,634.0,False,1,Web,hash_118557
CL00151,2024-12-19,Valle del Cauca,Cali,39,M,1,Posgrado,Empleado,1560000.0,Aliado comercial,477.0,False,0,Android,hash_126081
CL00152,2025-07-26,Norte de Santander,Cúcuta,39,F,4,Universitario,Empleado,2710000.0,App orgánico,632.0,False,1,Android,hash_443003
CL00153,2023-10-30,Risaralda,Pereira,29,M,4,Universitario,Pensionado,1990000.0,Referido,526.0,False,2,Android,hash_871152
CL00154,2024-09-07,Valle del Cauca,Cali,38,F,3,Universitario,Microempresario,2560000.0,App orgánico,626.0,True,4,Android,hash_857582
CL00155,2025-07-20,Meta,Villavicencio,39,M,1,Técnico/Tecnólogo,Empleado,1970000.0,Aliado comercial,484.0,False,2,Android,hash_665148
CL00156,2024-05-14,Antioquia,Medellín,29,F,2,Técnico/Tecnólogo,Comerciante,3770000.0,Campaña digital,625.0,False,0,Android,hash_851331
CL00157,2025-11-26,Valle del Cauca,Cali,55,M,2,Técnico/Tecnólogo,Empleado,2770000.0,Campaña digital,634.0,False,0,Android,hash_543833
CL00158,2024-10-31,Bogotá D.C.,Bogotá,41,M,4,Posgrado,Empleado,5650000.0,Campaña digital,668.0,True,0,Android,hash_444407
CL00159,2023-10-08,Bogotá D.C.,Bogotá,24,M,1,Bachiller,Empleado,1560000.0,Call center,506.0,True,2,Android,hash_964950
CL00160,2024-07-13,Antioquia,Medellín,43,F,4,Técnico/Tecnólogo,Empleado,2590000.0,Campaña digital,689.0,False,4,iOS,hash_173591
CL00161,2025-05-19,Atlántico,Barranquilla,26,M,2,Sin información,Empleado,1600000.0,Referido,531.0,False,4,Android,hash_249172
CL00162,2023-10-13,Bogotá D.C.,Bogotá,44,M,3,Universitario,Estudiante,2570000.0,Aliado comercial,419.0,False,2,Android,hash_568013
CL00163,2024-10-14,Bolívar,Cartagena,48,F,4,Universitario,Microempresario,3410000.0,Referido,660.0,False,1,Android,hash_666605
CL00164,2023-06-03,Valle del Cauca,Cali,28,M,2,Universitario,Empleado,2600000.0,Call center,659.0,False,1,iOS,hash_731339
CL00165,2023-05-01,Valle del Cauca,Cali,46,F,3,Bachiller,Comerciante,3050000.0,Referido,738.0,False,1,Android,hash_663329
CL00166,2025-11-04,Bogotá D.C.,Bogotá,40,M,3,Técnico/Tecnólogo,Conductor/Repartidor,3140000.0,Campaña digital,622.0,True,3,Android,hash_985259
CL00167,2023-03-15,Cundinamarca,Soacha,44,F,2,Posgrado,Comerciante,2720000.0,App orgánico,517.0,False,3,Android,hash_833375
CL00168,2023-10-04,Cundinamarca,Soacha,55,F,4,Técnico/Tecnólogo,Conductor/Repartidor,2770000.0,Aliado comercial,512.0,False,1,Web,hash_129709
CL00169,2023-06-03,Santander,Bucaramanga,34,F,1,Técnico/Tecnólogo,Empleado,3580000.0,Campaña digital,601.0,False,0,Android,hash_128885
CL00170,2023-12-09,Norte de Santander,Cúcuta,28,F,1,Universitario,Comerciante,2370000.0,Campaña digital,498.0,False,1,Android,hash_700699
CL00171,2023-05-16,Valle del Cauca,Cali,27,M,4,Bachiller,Empleado,7030000.0,App orgánico,707.0,False,1,Android,hash_473145
CL00172,2025-01-08,Bolívar,Cartagena,28,F,3,Universitario,Empleado,3880000.0,App orgánico,616.0,True,2,Android,hash_771813
CL00173,2023-10-19,Atlántico,Barranquilla,35,F,3,Posgrado,Empleado,2410000.0,App orgánico,585.0,True,2,Android,hash_734649
CL00174,2024-06-24,Valle del Cauca,Cali,39,M,2,Sin información,Microempresario,1600000.0,App orgánico,487.0,True,1,Android,hash_972882
CL00175,2025-03-18,Atlántico,Barranquilla,39,F,2,Universitario,Comerciante,1970000.0,Call center,539.0,False,3,Android,hash_882119
CL00176,2023-10-11,Valle del Cauca,Cali,44,F,3,Técnico/Tecnólogo,Microempresario,2630000.0,App orgánico,580.0,True,1,Android,hash_783189
CL00177,2023-08-07,Bogotá D.C.,Bogotá,36,F,4,Sin información,Empleado,4590000.0,Referido,839.0,False,0,Android,hash_931769
CL00178,2023-11-30,Cundinamarca,Soacha,51,M,1,Universitario,Empleado,2970000.0,Aliado comercial,638.0,False,0,Android,hash_678921
CL00179,2024-02-11,Valle del Cauca,Cali,33,F,2,Bachiller,Comerciante,3430000.0,Campaña digital,514.0,True,0,Android,hash_139148
CL00180,2025-05-11,Antioquia,Medellín,63,F,2,Técnico/Tecnólogo,Microempresario,2970000.0,App orgánico,665.0,True,1,iOS,hash_286720
CL00181,2025-07-08,Bogotá D.C.,Bogotá,42,M,5,Bachiller,Independiente,4850000.0,Referido,691.0,False,2,Android,hash_862277
CL00182,2024-03-14,Bogotá D.C.,Bogotá,27,F,3,Técnico/Tecnólogo,Empleado,3880000.0,App orgánico,594.0,True,4,iOS,hash_604655
CL00183,2024-06-27,Bolívar,Cartagena,25,M,2,Universitario,Desempleado,610000.0,Campaña digital,526.0,False,0,Android,hash_345160
CL00184,2023-09-10,Bogotá D.C.,Bogotá,41,F,2,Técnico/Tecnólogo,Empleado,1990000.0,App orgánico,493.0,False,3,Android,hash_751824
CL00185,2025-06-20,Antioquia,Medellín,34,F,1,Universitario,Microempresario,3260000.0,Campaña digital,493.0,True,1,Web,hash_453330
CL00186,2023-07-25,Valle del Cauca,Cali,43,F,3,Sin información,Microempresario,4410000.0,App orgánico,555.0,False,2,Android,hash_596753
